#_MJD RANGE DM DMunc nToA chisq
57376.5396794764 2.55139e-06 31.981864392600107541 0.00028636436300547550 9 0.5812 
57383.4031360930 2.56659e-06 31.980554033756145861 0.00052484404004871836 9 0.9708 
57390.4112202318 2.55868e-06 31.98206562363106336 0.00037441288021509587 9 1.3369 
57397.4111916190 2.54985e-06 31.980945834670263909 0.00018119195162248259 9 0.4053 
57404.4111201038 2.54509e-06 31.981273606840187357 0.00038296468704443850 8 1.1891 
57411.4075019430 2.55106e-06 31.981153757901628816 0.00026205848748946114 9 0.5967 
57418.4075311847 2.55191e-06 31.980954475635462578 0.00026454469283435512 8 0.5771 
57425.4110322223 2.54918e-06 31.980844850815500963 0.00058767276800893034 8 2.6213 
57432.4111449046 2.54753e-06 31.980746810028795456 0.00017659776054703333 9 0.4905 
57439.4110884484 2.5599e-06 31.980897697283203198 0.00020459712302095499 9 0.7570 
57446.4128812708 2.55639e-06 31.980542263138294715 0.00014441174802021616 9 0.6777 
57453.4111243193 2.55725e-06 31.98026930841510132 0.00020513850354193986 9 2.0411 
57460.4110619521 2.55651e-06 31.980391691136620391 0.00006050110511916028 8 0.1273 
57468.2826106030 2.53533e-06 31.980536547015170148 0.00014612532413753370 9 1.2484 
57475.2826424616 2.54731e-06 31.980308034861043056 0.00016452426773102410 9 1.3021 
57482.1892567299 2.55176e-06 31.980598383106110397 0.00025084633980107334 9 1.4765 
57489.1890711244 2.54671e-06 31.980915791559965769 0.00035159950914945141 9 2.2390 
57496.1889882202 2.55424e-06 31.980494338397689813 0.00024951072205516120 8 0.7040 
57510.1680258935 2.5123e-06 31.980840156683330203 0.00030078101686984988 10 1.4717 
57517.0814407174 2.35268e-06 31.98051478085513534 0.00034569379278760298 7 0.4860 
57524.0813025463 2.55175e-06 31.980643870821973466 0.00019593545175270678 9 0.3480 
57531.0811935011 2.54804e-06 31.981090964732030483 0.00018592016079610436 9 0.1430 
57538.0809368684 2.54807e-06 31.981026820084539486 0.00034996023804567569 8 0.8106 
57545.0812447194 2.54655e-06 31.981267564454380996 0.00035945337762024793 9 1.8388 
57552.0813037645 2.54744e-06 31.981125588691045988 0.00021784073053533293 8 0.6684 
57559.0813093679 2.55584e-06 31.981126453701137319 0.00024383345676474720 8 0.9984 
57600.8871195973 2.55368e-06 31.981194812924704708 0.00030816008940022879 8 0.7122 
57607.8868491184 2.55976e-06 31.980820559260924537 0.00042963268537972622 7 1.0218 
57614.8868718240 2.54181e-06 31.980691370044725522 0.00025208309935660254 9 0.5140 
57621.7344252375 2.57472e-06 31.980451005900170721 0.00067391353982738532 8 1.6870 
57635.7759997592 2.55634e-06 31.98174252534112936 0.00025524594071029327 8 0.4956 
57642.7759948630 2.55741e-06 31.981408033415531683 0.00037642630926811195 8 0.5862 
57649.7758072722 2.55425e-06 31.980479644106484097 0.00060403301384581937 7 0.8186 
57656.7274327476 2.55344e-06 31.98143552673115407 0.00055568854259140858 7 0.7111 
57663.7273557750 2.55147e-06 31.982120002918442713 0.00061019428282490476 9 1.4325 
57674.6442615404 2.56063e-06 31.980858460844358224 0.00067735266270105624 7 0.4918 
57681.6440679074 2.55724e-06 31.981416477726187326 0.00034804371938158807 8 0.2575 
57688.6438474178 2.56309e-06 31.981448681316846178 0.00039639057346130008 8 0.4588 
#57705.5292943477 2.36606e-06 31.978176076207697167 0.00538458149111656174 4 3.4211 
57719.5361712601 2.55973e-06 31.981454445140744217 0.00111613115931811797 7 2.0902 
57754.5298499043 2.55342e-06 31.981942795759083614 0.00024770373388330097 9 0.5316 
57761.4742125042 2.55198e-06 31.981662630739519287 0.00029927328150007316 8 1.0886 
57782.4392513252 2.55073e-06 31.982267361630897926 0.00019455749233912380 7 0.5862 
57796.4291465595 2.55055e-06 31.9826457117506386 0.00034620955028290349 7 1.2878 
57803.4291504290 2.5509e-06 31.981944170236100793 0.00034585575140721661 8 1.1405 
57810.4268590385 2.55176e-06 31.982093864607669629 0.00026106571444356946 8 0.5940 
57817.3249788569 2.55106e-06 31.982817933082422084 0.00040241692248090845 9 1.5905 
57824.3416197310 2.54829e-06 31.982731401943359931 0.00025240289353846402 9 0.4521 
57832.3243363207 2.5454e-06 31.984241212194803899 0.00048274962648758450 8 0.4764 
57839.3242527839 2.51734e-06 31.983255315634875294 0.00054774725475226975 6 0.1727 
57846.2374179294 2.54638e-06 31.984405406400549805 0.00089734270659515183 8 1.3657 
57853.2375006467 2.55045e-06 31.983977638303519702 0.00050145787164972361 9 1.3446 
57860.2374453168 2.54811e-06 31.983245455988538821 0.00027517374713613652 9 0.4690 
57888.0848725357 2.55187e-06 31.984087441021475221 0.00032336226568360570 9 0.6238 
57895.0847218324 2.55033e-06 31.984078820095939626 0.00040164173159941218 9 1.5757 
57902.0847052105 2.54892e-06 31.984847464680444075 0.00024838641559531274 9 0.3701 
57909.0847001714 2.55315e-06 31.984507963417067398 0.00052953820252071198 9 2.5130 
