# simulations contain red noise only, the white noise is added as a constant
# white noise level: 2.4841824906e-06
# model DDM(tau = 1d) = 2.09e-10
#_tau D_DM sig(D_DM) n_pair sim sim_low sim_up
7.00 2.87031e-06 5.69185e-07 75 2.48962e-06 2.48844e-06 2.49130e-06
8.40 2.61281e-06 5.86534e-07 58 2.49153e-06 2.48980e-06 2.49400e-06
10.08 1.17668e-06 8.28720e-07 11 2.49432e-06 2.49029e-06 2.49976e-06
12.10 1.91431e-06 4.76874e-07 66 2.49929e-06 2.49555e-06 2.50471e-06
14.52 3.73112e-06 5.21698e-07 110 2.50295e-06 2.49850e-06 2.50940e-06
17.42 2.82149e-06 7.10118e-07 42 2.50961e-06 2.50169e-06 2.52013e-06
20.90 2.63982e-06 3.82806e-07 143 2.51888e-06 2.50960e-06 2.53248e-06
25.08 3.27823e-06 5.46157e-07 87 2.53179e-06 2.51833e-06 2.55256e-06
30.10 2.32772e-06 3.53326e-07 151 2.54427e-06 2.52734e-06 2.57014e-06
36.12 2.52288e-06 3.42215e-07 179 2.56676e-06 2.54198e-06 2.60431e-06
43.34 2.74327e-06 3.24981e-07 209 2.59560e-06 2.56178e-06 2.65026e-06
52.01 2.71346e-06 2.61533e-07 317 2.63811e-06 2.58897e-06 2.72452e-06
62.41 2.44534e-06 2.90030e-07 237 2.68914e-06 2.61880e-06 2.80950e-06
74.90 2.43494e-06 2.31023e-07 369 2.75433e-06 2.65874e-06 2.91674e-06
89.87 3.06881e-06 2.32763e-07 453 2.84776e-06 2.71294e-06 3.10282e-06
107.85 3.17895e-06 2.27767e-07 490 2.97177e-06 2.78101e-06 3.34571e-06
129.42 3.38990e-06 2.06722e-07 648 3.14208e-06 2.87093e-06 3.69203e-06
155.30 3.62199e-06 2.03996e-07 718 3.37020e-06 2.98726e-06 4.15309e-06
186.36 3.82045e-06 1.93557e-07 848 3.66647e-06 3.12966e-06 4.74843e-06
223.64 3.82061e-06 1.78699e-07 971 4.04677e-06 3.29446e-06 5.57164e-06
268.36 4.22577e-06 1.70208e-07 1176 4.54482e-06 3.49704e-06 6.71176e-06
322.04 5.37771e-06 1.74718e-07 1430 5.27017e-06 3.73031e-06 8.38907e-06
386.44 6.46819e-06 1.81319e-07 1592 6.16959e-06 4.01729e-06 1.06162e-05
463.73 7.91374e-06 1.92457e-07 1769 7.23706e-06 4.32777e-06 1.36231e-05
556.48 9.98187e-06 2.01879e-07 1995 8.61661e-06 4.66577e-06 1.76433e-05
667.77 1.37949e-05 2.28757e-07 2202 1.04058e-05 4.91563e-06 2.32624e-05
801.33 1.89584e-05 2.73634e-07 2293 1.25717e-05 5.04668e-06 3.08837e-05
961.59 2.47094e-05 3.14267e-07 2424 1.51463e-05 5.28689e-06 4.14238e-05
1153.91 3.26284e-05 3.92619e-07 2311 1.87423e-05 5.27670e-06 5.56387e-05
1384.70 4.05936e-05 5.27661e-07 1886 2.28693e-05 5.16389e-06 7.56208e-05
1661.63 4.98694e-05 9.33059e-07 896 2.72842e-05 5.06188e-06 1.02865e-04
