# simulations contain red noise only, the white noise is added as a constant
# white noise level: 2.9960218306e-06
# model DDM(tau = 1d) = 6.71e-12
#_tau D_DM sig(D_DM) n_pair sim sim_low sim_up
7.00 3.90343e-06 8.27460e-07 60 2.99620e-06 2.99616e-06 2.99626e-06
8.40 2.06145e-06 5.50922e-07 52 2.99627e-06 2.99621e-06 2.99635e-06
10.08 2.25681e-06 2.67205e-06 3 2.99633e-06 2.99613e-06 2.99671e-06
12.10 3.55377e-06 7.71580e-07 54 2.99650e-06 2.99638e-06 2.99666e-06
14.52 2.37420e-06 4.83599e-07 96 2.99663e-06 2.99649e-06 2.99684e-06
17.42 3.04401e-06 7.75459e-07 44 2.99687e-06 2.99663e-06 2.99723e-06
20.90 2.47845e-06 4.34607e-07 117 2.99717e-06 2.99687e-06 2.99759e-06
25.08 3.66064e-06 7.12215e-07 71 2.99758e-06 2.99715e-06 2.99826e-06
30.10 2.94878e-06 4.73502e-07 130 2.99797e-06 2.99744e-06 2.99880e-06
36.12 2.77061e-06 4.16862e-07 149 2.99870e-06 2.99793e-06 2.99984e-06
43.34 2.94367e-06 3.89514e-07 175 2.99961e-06 2.99853e-06 3.00128e-06
52.01 2.64077e-06 3.06872e-07 269 3.00095e-06 2.99935e-06 3.00358e-06
62.41 3.16003e-06 4.08436e-07 197 3.00259e-06 3.00040e-06 3.00637e-06
74.90 2.88075e-06 3.00229e-07 303 3.00457e-06 3.00158e-06 3.00988e-06
89.87 3.27081e-06 2.84202e-07 369 3.00751e-06 3.00326e-06 3.01573e-06
107.85 2.90856e-06 2.58854e-07 396 3.01129e-06 3.00532e-06 3.02305e-06
129.42 3.31781e-06 2.34393e-07 555 3.01658e-06 3.00830e-06 3.03365e-06
155.30 2.79413e-06 2.06525e-07 610 3.02368e-06 3.01186e-06 3.04832e-06
186.36 2.87448e-06 1.94958e-07 727 3.03232e-06 3.01603e-06 3.06744e-06
223.64 3.08392e-06 1.86548e-07 851 3.04341e-06 3.02063e-06 3.09406e-06
268.36 3.53070e-06 1.86184e-07 998 3.05875e-06 3.02560e-06 3.13044e-06
322.04 3.34404e-06 1.66659e-07 1189 3.07860e-06 3.03200e-06 3.18187e-06
386.44 3.52615e-06 1.63858e-07 1397 3.10607e-06 3.04119e-06 3.25584e-06
463.73 3.87358e-06 1.61556e-07 1575 3.13813e-06 3.04904e-06 3.34495e-06
556.48 3.66268e-06 1.45864e-07 1779 3.17769e-06 3.05718e-06 3.48025e-06
667.77 3.94791e-06 1.46720e-07 1888 3.22364e-06 3.06416e-06 3.66859e-06
801.33 3.58913e-06 1.33000e-07 2013 3.28043e-06 3.07491e-06 3.91801e-06
961.59 3.39699e-06 1.32001e-07 1882 3.34679e-06 3.07688e-06 4.25442e-06
1153.91 3.51798e-06 1.45572e-07 1742 3.42338e-06 3.09001e-06 4.69617e-06
1384.70 3.72250e-06 1.97886e-07 1243 3.52476e-06 3.10492e-06 5.40043e-06
1661.63 3.71145e-06 2.92522e-07 592 3.69030e-06 3.09085e-06 6.03997e-06
