# simulations contain red noise only, the white noise is added as a constant
# white noise level: 5.8391793930e-08
# model DDM(tau = 1d) = 1.12e-11
#_tau D_DM sig(D_DM) n_pair sim sim_low sim_up
7.00 5.73216e-08 9.13940e-09 63 5.86889e-08 5.86215e-08 5.87933e-08
8.40 5.23229e-08 7.89818e-09 68 5.87896e-08 5.87019e-08 5.89332e-08
10.08 3.39351e-08 1.23173e-08 16 5.89636e-08 5.87460e-08 5.93378e-08
12.10 4.35904e-08 7.39725e-09 62 5.92083e-08 5.90012e-08 5.95208e-08
14.52 6.21550e-08 7.16531e-09 103 5.94088e-08 5.91677e-08 5.97984e-08
17.42 5.54869e-08 9.77789e-09 42 5.97414e-08 5.93661e-08 6.03707e-08
20.90 5.36741e-08 5.56439e-09 145 6.02722e-08 5.97846e-08 6.10890e-08
25.08 8.19488e-08 8.30338e-09 83 6.10107e-08 6.03266e-08 6.22310e-08
30.10 8.76327e-08 6.74251e-09 152 6.16364e-08 6.07842e-08 6.31893e-08
36.12 7.38807e-08 5.80409e-09 174 6.28163e-08 6.16409e-08 6.50129e-08
43.34 8.02933e-08 5.69392e-09 200 6.42940e-08 6.26263e-08 6.74670e-08
52.01 8.52651e-08 4.81492e-09 293 6.66445e-08 6.41131e-08 7.14811e-08
62.41 8.98236e-08 5.61584e-09 222 6.95529e-08 6.59310e-08 7.62181e-08
74.90 9.99344e-08 4.95059e-09 343 7.29039e-08 6.80269e-08 8.25442e-08
89.87 9.43422e-08 4.29316e-09 411 7.80182e-08 7.09772e-08 9.22938e-08
107.85 9.18027e-08 3.98294e-09 460 8.47070e-08 7.44347e-08 1.04414e-07
129.42 9.03209e-08 3.43421e-09 603 9.33255e-08 7.95903e-08 1.21674e-07
155.30 1.19334e-07 3.75568e-09 693 1.04895e-07 8.59019e-08 1.45635e-07
186.36 1.47976e-07 3.83598e-09 833 1.19767e-07 9.31848e-08 1.78428e-07
223.64 1.99091e-07 4.13823e-09 982 1.39545e-07 1.01148e-07 2.20606e-07
268.36 1.95219e-07 3.71953e-09 1162 1.63195e-07 1.11972e-07 2.82328e-07
322.04 2.38091e-07 3.86973e-09 1309 1.96375e-07 1.24359e-07 3.68363e-07
386.44 2.89477e-07 3.96467e-09 1541 2.37661e-07 1.37353e-07 4.78252e-07
463.73 3.69507e-07 4.15366e-09 1703 2.88533e-07 1.52384e-07 6.32779e-07
556.48 4.13247e-07 4.20121e-09 1943 3.55635e-07 1.69833e-07 8.57568e-07
667.77 4.56328e-07 4.42833e-09 2054 4.38839e-07 1.86403e-07 1.16292e-06
801.33 5.00590e-07 4.46109e-09 2267 5.33124e-07 2.03218e-07 1.59049e-06
961.59 5.54419e-07 4.75165e-09 2236 6.61074e-07 1.98308e-07 2.19505e-06
1153.91 5.82620e-07 5.51970e-09 2158 8.41054e-07 1.83080e-07 2.99494e-06
1384.70 5.91983e-07 6.95612e-09 1724 1.06400e-06 1.79320e-07 3.92112e-06
1661.63 9.12681e-07 1.75609e-08 776 1.29843e-06 1.93883e-07 5.05738e-06
