# simulations contain red noise only, the white noise is added as a constant
# white noise level: 1.0390813345e-05
# model DDM(tau = 1d) = 3.44e-10
#_tau D_DM sig(D_DM) n_pair sim sim_low sim_up
7.00 6.76616e-06 2.42428e-06 40 1.04000e-05 1.03975e-05 1.04036e-05
8.40 1.23640e-05 4.46890e-06 24 1.04034e-05 1.03997e-05 1.04089e-05
12.10 1.24210e-05 3.98139e-06 26 1.04160e-05 1.04081e-05 1.04270e-05
14.52 1.04524e-05 3.03012e-06 48 1.04216e-05 1.04125e-05 1.04347e-05
17.42 1.01209e-05 4.08554e-06 19 1.04323e-05 1.04180e-05 1.04552e-05
20.90 8.97726e-06 2.27104e-06 66 1.04484e-05 1.04300e-05 1.04738e-05
25.08 1.12825e-05 3.14038e-06 43 1.04730e-05 1.04477e-05 1.05139e-05
30.10 1.03204e-05 2.51931e-06 60 1.04890e-05 1.04564e-05 1.05421e-05
36.12 9.77233e-06 2.17694e-06 76 1.05271e-05 1.04787e-05 1.05974e-05
43.34 1.15019e-05 2.13807e-06 90 1.05715e-05 1.05084e-05 1.06743e-05
52.01 1.11624e-05 1.71153e-06 144 1.06432e-05 1.05481e-05 1.07991e-05
62.41 1.05444e-05 1.88222e-06 107 1.07291e-05 1.05990e-05 1.09587e-05
74.90 8.81599e-06 1.49331e-06 154 1.08323e-05 1.06485e-05 1.11531e-05
89.87 1.09137e-05 1.38295e-06 205 1.09796e-05 1.07263e-05 1.14613e-05
107.85 1.30324e-05 1.57755e-06 201 1.11708e-05 1.08160e-05 1.18745e-05
129.42 1.18858e-05 1.28643e-06 278 1.14423e-05 1.09129e-05 1.24514e-05
155.30 1.38703e-05 1.31729e-06 305 1.18091e-05 1.10707e-05 1.32825e-05
186.36 1.36940e-05 1.22546e-06 354 1.22832e-05 1.12074e-05 1.44620e-05
223.64 1.24243e-05 1.11310e-06 395 1.28070e-05 1.14065e-05 1.58573e-05
268.36 1.44925e-05 1.09220e-06 463 1.35676e-05 1.16104e-05 1.76806e-05
322.04 1.72265e-05 1.07852e-06 540 1.45055e-05 1.18359e-05 2.04757e-05
386.44 1.66784e-05 1.07020e-06 545 1.55607e-05 1.20352e-05 2.44123e-05
463.73 1.89195e-05 1.12041e-06 550 1.69085e-05 1.21750e-05 2.99254e-05
556.48 2.19517e-05 1.21695e-06 547 1.85594e-05 1.23994e-05 3.69504e-05
667.77 2.62148e-05 1.52038e-06 469 2.11555e-05 1.24673e-05 4.75692e-05
801.33 3.40435e-05 2.15586e-06 311 2.41771e-05 1.25130e-05 6.00638e-05
961.59 4.01212e-05 3.20437e-06 134 2.80468e-05 1.22499e-05 7.35775e-05
