# simulations contain red noise only, the white noise is added as a constant
# white noise level: 7.4941317578e-08
# model DDM(tau = 1d) = 4.88e-11
#_tau D_DM sig(D_DM) n_pair sim sim_low sim_up
7.00 8.23325e-08 2.20712e-08 77 7.62118e-08 7.58312e-08 7.68198e-08
8.40 7.02214e-08 1.74407e-08 97 7.66937e-08 7.62101e-08 7.74712e-08
10.08 2.90502e-08 2.26071e-08 19 7.71978e-08 7.61527e-08 7.90078e-08
12.10 7.22703e-08 1.71787e-08 87 7.84035e-08 7.75252e-08 7.98986e-08
14.52 8.74877e-08 1.63688e-08 135 7.93431e-08 7.80099e-08 8.13554e-08
17.42 5.32844e-08 1.79688e-08 57 8.11463e-08 7.93005e-08 8.40562e-08
20.90 8.37035e-08 1.34038e-08 176 8.30855e-08 8.07005e-08 8.73332e-08
25.08 1.18740e-07 2.01047e-08 112 8.61312e-08 8.26528e-08 9.18509e-08
30.10 1.23531e-07 1.55818e-08 206 8.95073e-08 8.46934e-08 9.70413e-08
36.12 1.56576e-07 1.65499e-08 229 9.47263e-08 8.80212e-08 1.05821e-07
43.34 1.43832e-07 1.46322e-08 244 1.01191e-07 9.17602e-08 1.17503e-07
52.01 1.33216e-07 1.20175e-08 337 1.11473e-07 9.84290e-08 1.33603e-07
62.41 1.88889e-07 1.71506e-08 247 1.23221e-07 1.05638e-07 1.55112e-07
74.90 1.90519e-07 1.38321e-08 367 1.40039e-07 1.14988e-07 1.82908e-07
89.87 2.28084e-07 1.36495e-08 454 1.61380e-07 1.27516e-07 2.27172e-07
107.85 2.87922e-07 1.46474e-08 513 1.90910e-07 1.42277e-07 2.82908e-07
129.42 3.67219e-07 1.40035e-08 704 2.30537e-07 1.59414e-07 3.64200e-07
155.30 3.73194e-07 1.38585e-08 738 2.86635e-07 1.83443e-07 4.75874e-07
186.36 3.54591e-07 1.27145e-08 813 3.53097e-07 2.11635e-07 6.23573e-07
223.64 4.30800e-07 1.31384e-08 933 4.44445e-07 2.50099e-07 8.17263e-07
268.36 4.84448e-07 1.23620e-08 1159 5.50123e-07 3.00795e-07 1.08260e-06
322.04 5.72410e-07 1.26769e-08 1257 7.14198e-07 3.66512e-07 1.50420e-06
386.44 6.98825e-07 1.29602e-08 1466 9.19195e-07 4.16203e-07 2.04039e-06
463.73 8.15686e-07 1.30201e-08 1775 1.15381e-06 4.69442e-07 2.75411e-06
556.48 1.14581e-06 1.46907e-08 1915 1.44540e-06 5.71565e-07 3.60210e-06
667.77 1.41304e-06 1.51521e-08 2280 1.87024e-06 6.69377e-07 5.01856e-06
801.33 1.51342e-06 1.55759e-08 2295 2.23543e-06 7.18180e-07 6.56154e-06
961.59 2.00902e-06 1.78660e-08 2524 2.79995e-06 7.68300e-07 9.16023e-06
1153.91 2.89153e-06 2.03822e-08 2395 3.58353e-06 8.41352e-07 1.27801e-05
1384.70 3.56826e-06 2.39619e-08 2512 4.47131e-06 7.31205e-07 1.74681e-05
1661.63 3.52013e-06 3.35859e-08 1491 5.72436e-06 7.61481e-07 2.45560e-05
