# simulations contain red noise only, the white noise is added as a constant
# white noise level: 2.0929214022e-06
# model DDM(tau = 1d) = 5.31e-11
#_tau D_DM sig(D_DM) n_pair sim sim_low sim_up
7.00 1.12180e-06 2.51453e-07 60 2.09435e-06 2.09402e-06 2.09488e-06
8.40 1.92824e-06 3.68942e-07 47 2.09490e-06 2.09434e-06 2.09562e-06
10.08 3.72334e-06 1.30324e-06 7 2.09553e-06 2.09421e-06 2.09767e-06
12.10 1.33814e-06 3.61833e-07 39 2.09677e-06 2.09558e-06 2.09856e-06
14.52 1.37811e-06 2.26508e-07 84 2.09775e-06 2.09654e-06 2.09974e-06
17.42 2.56149e-06 5.35790e-07 39 2.09942e-06 2.09717e-06 2.10294e-06
20.90 1.14379e-06 1.79584e-07 104 2.10179e-06 2.09942e-06 2.10609e-06
25.08 1.73027e-06 2.98265e-07 68 2.10530e-06 2.10144e-06 2.11174e-06
30.10 1.39324e-06 2.20083e-07 106 2.10849e-06 2.10351e-06 2.11700e-06
36.12 1.47658e-06 1.93032e-07 128 2.11430e-06 2.10776e-06 2.12537e-06
43.34 1.79280e-06 1.95855e-07 148 2.12113e-06 2.11173e-06 2.13705e-06
52.01 1.89156e-06 1.61495e-07 215 2.13252e-06 2.11855e-06 2.15653e-06
62.41 2.07606e-06 1.99579e-07 162 2.14543e-06 2.12626e-06 2.17778e-06
74.90 2.32478e-06 1.75706e-07 232 2.16175e-06 2.13555e-06 2.20830e-06
89.87 2.33439e-06 1.51399e-07 269 2.18531e-06 2.14671e-06 2.25619e-06
107.85 2.96272e-06 1.73852e-07 275 2.21632e-06 2.16297e-06 2.31646e-06
129.42 3.50072e-06 1.59951e-07 375 2.25875e-06 2.18169e-06 2.40126e-06
155.30 3.61815e-06 1.52794e-07 434 2.31708e-06 2.21013e-06 2.51379e-06
186.36 4.23271e-06 1.55407e-07 531 2.38949e-06 2.23736e-06 2.67213e-06
223.64 4.72468e-06 1.52393e-07 613 2.48126e-06 2.27057e-06 2.87776e-06
268.36 4.20205e-06 1.31835e-07 631 2.57351e-06 2.29700e-06 3.19944e-06
322.04 3.17433e-06 1.09736e-07 655 2.68082e-06 2.30723e-06 3.66483e-06
386.44 2.47487e-06 9.43754e-08 685 2.83568e-06 2.34431e-06 4.26390e-06
463.73 2.16083e-06 8.62674e-08 752 3.04900e-06 2.40614e-06 5.05946e-06
556.48 3.93903e-06 1.14880e-07 839 3.39320e-06 2.47774e-06 6.03148e-06
667.77 6.29079e-06 1.50954e-07 1003 3.99576e-06 2.59088e-06 7.29584e-06
801.33 4.78062e-06 1.43071e-07 1193 4.48798e-06 2.68017e-06 8.74580e-06
961.59 4.26491e-06 1.58367e-07 1232 5.06442e-06 2.72531e-06 1.12981e-05
1153.91 6.55514e-06 2.48042e-07 1199 5.69838e-06 2.60814e-06 1.45721e-05
1384.70 7.33013e-06 2.47843e-07 1375 6.78275e-06 2.71801e-06 1.84251e-05
1661.63 1.24626e-05 4.25994e-07 895 7.96761e-06 2.72103e-06 2.41603e-05
