# simulations contain red noise only, the white noise is added as a constant
# white noise level: 6.8064889072e-05
# model DDM(tau = 1d) = 3.80e-10
#_tau D_DM sig(D_DM) n_pair sim sim_low sim_up
7.00 6.17203e-05 1.80617e-05 41 6.80752e-05 6.80724e-05 6.80791e-05
8.40 4.15579e-05 1.56407e-05 37 6.80793e-05 6.80756e-05 6.80844e-05
10.08 5.24358e-05 7.72521e-05 2 6.80794e-05 6.80686e-05 6.81048e-05
12.10 5.63808e-05 2.20765e-05 28 6.80919e-05 6.80837e-05 6.81043e-05
14.52 5.98562e-05 1.29288e-05 72 6.80999e-05 6.80913e-05 6.81140e-05
17.42 8.32078e-05 2.39631e-05 34 6.81130e-05 6.80982e-05 6.81352e-05
20.90 6.27797e-05 1.30470e-05 81 6.81298e-05 6.81124e-05 6.81587e-05
25.08 8.88982e-05 1.80965e-05 59 6.81543e-05 6.81288e-05 6.81988e-05
30.10 6.49948e-05 1.26263e-05 87 6.81754e-05 6.81417e-05 6.82355e-05
36.12 6.08765e-05 1.22059e-05 96 6.82132e-05 6.81684e-05 6.82972e-05
43.34 6.32557e-05 1.04839e-05 126 6.82634e-05 6.81973e-05 6.83827e-05
52.01 6.92230e-05 9.44874e-06 180 6.83445e-05 6.82446e-05 6.85224e-05
62.41 5.24583e-05 9.04040e-06 146 6.84355e-05 6.82933e-05 6.86945e-05
74.90 7.06747e-05 8.77504e-06 217 6.85538e-05 6.83624e-05 6.89169e-05
89.87 7.13553e-05 7.92381e-06 266 6.87310e-05 6.84418e-05 6.92433e-05
107.85 7.40347e-05 7.82980e-06 291 6.89351e-05 6.85523e-05 6.96745e-05
129.42 6.76243e-05 6.57327e-06 379 6.92185e-05 6.86878e-05 7.02467e-05
155.30 8.19896e-05 6.95083e-06 417 6.96010e-05 6.88723e-05 7.10819e-05
186.36 7.68243e-05 6.28582e-06 490 7.00593e-05 6.90948e-05 7.22126e-05
223.64 9.28651e-05 6.39319e-06 576 7.06979e-05 6.93639e-05 7.37546e-05
268.36 9.76739e-05 6.28138e-06 670 7.14591e-05 6.96134e-05 7.59662e-05
322.04 9.74156e-05 5.82983e-06 805 7.25292e-05 7.00056e-05 7.89495e-05
386.44 9.42621e-05 5.54167e-06 880 7.39125e-05 7.04106e-05 8.31470e-05
463.73 8.49191e-05 4.91823e-06 938 7.53755e-05 7.07155e-05 8.88434e-05
556.48 8.21230e-05 4.64952e-06 1002 7.75510e-05 7.11448e-05 9.71594e-05
667.77 8.33666e-05 4.85979e-06 978 8.01229e-05 7.13417e-05 1.08286e-04
801.33 8.51367e-05 5.40578e-06 856 8.28305e-05 7.14278e-05 1.22467e-04
961.59 1.11919e-04 7.86493e-06 634 8.78243e-05 7.15964e-05 1.44063e-04
1153.91 9.22243e-05 9.46754e-06 342 9.43742e-05 7.10884e-05 1.74182e-04
1384.70 7.12049e-05 1.25810e-05 111 9.91729e-05 7.09820e-05 2.07130e-04
