# simulations contain red noise only, the white noise is added as a constant
# white noise level: 6.6179914247e-08
# model DDM(tau = 1d) = 5.07e-12
#_tau D_DM sig(D_DM) n_pair sim sim_low sim_up
7.00 5.64822e-08 1.87856e-08 59 6.63142e-08 6.62842e-08 6.63630e-08
8.40 7.02691e-08 2.48365e-08 43 6.63643e-08 6.63193e-08 6.64325e-08
10.08 7.48350e-08 4.95959e-08 8 6.64274e-08 6.63164e-08 6.66087e-08
12.10 1.02121e-07 3.15386e-08 47 6.65472e-08 6.64601e-08 6.66927e-08
14.52 4.85627e-08 1.39006e-08 82 6.66394e-08 6.65242e-08 6.68203e-08
17.42 4.16448e-08 2.07321e-08 42 6.67962e-08 6.66238e-08 6.71065e-08
20.90 6.21033e-08 1.39280e-08 107 6.70363e-08 6.68268e-08 6.74183e-08
25.08 8.35672e-08 2.19459e-08 64 6.73388e-08 6.70242e-08 6.79057e-08
30.10 7.04675e-08 1.49173e-08 119 6.76548e-08 6.72355e-08 6.83857e-08
36.12 7.63751e-08 1.47608e-08 125 6.81771e-08 6.76444e-08 6.92168e-08
43.34 6.32823e-08 1.23874e-08 147 6.88594e-08 6.80796e-08 7.03680e-08
52.01 8.07893e-08 1.06877e-08 232 6.98640e-08 6.88276e-08 7.21306e-08
62.41 6.20744e-08 1.11349e-08 164 7.11222e-08 6.96572e-08 7.43432e-08
74.90 6.70684e-08 9.73911e-09 252 7.26501e-08 7.05986e-08 7.70236e-08
89.87 7.41073e-08 9.18825e-09 316 7.49014e-08 7.19564e-08 8.16932e-08
107.85 9.00048e-08 9.64451e-09 344 7.79382e-08 7.37032e-08 8.71927e-08
129.42 8.78304e-08 8.14487e-09 450 8.22602e-08 7.60038e-08 9.57079e-08
155.30 1.01682e-07 8.33699e-09 522 8.78759e-08 7.88764e-08 1.06954e-07
186.36 8.72399e-08 7.05922e-09 604 9.46915e-08 8.23816e-08 1.22881e-07
223.64 1.00491e-07 7.05085e-09 729 1.04782e-07 8.61749e-08 1.42603e-07
268.36 1.15432e-07 6.93666e-09 857 1.17590e-07 9.04454e-08 1.71240e-07
322.04 1.37558e-07 6.87736e-09 1038 1.32428e-07 9.72845e-08 2.11055e-07
386.44 1.62734e-07 7.07213e-09 1148 1.52682e-07 1.04309e-07 2.69274e-07
463.73 2.09639e-07 7.69448e-09 1274 1.78143e-07 1.12365e-07 3.46660e-07
556.48 2.52712e-07 7.89880e-09 1510 2.13068e-07 1.21258e-07 4.57313e-07
667.77 3.32904e-07 8.77361e-09 1634 2.57450e-07 1.29479e-07 6.02404e-07
801.33 4.29753e-07 9.78194e-09 1754 3.01820e-07 1.37248e-07 7.86546e-07
961.59 5.56876e-07 1.13574e-08 1687 3.64768e-07 1.43725e-07 1.05813e-06
1153.91 7.24326e-07 1.45208e-08 1556 4.39857e-07 1.47733e-07 1.41313e-06
1384.70 9.73609e-07 2.04997e-08 1271 5.40632e-07 1.48070e-07 1.94315e-06
1661.63 1.37646e-06 4.21435e-08 600 6.45448e-07 1.35814e-07 2.52367e-06
