# simulations contain red noise only, the white noise is added as a constant
# white noise level: 1.6717750555e-05
# model DDM(tau = 1d) = 2.52e-09
#_tau D_DM sig(D_DM) n_pair sim sim_low sim_up
7.00 1.60376e-05 2.46944e-06 87 1.67841e-05 1.67690e-05 1.68073e-05
8.40 1.46070e-05 2.25967e-06 84 1.68109e-05 1.67893e-05 1.68433e-05
10.08 2.21623e-05 9.25319e-06 17 1.68454e-05 1.67943e-05 1.69298e-05
12.10 1.07386e-05 1.91551e-06 87 1.68994e-05 1.68564e-05 1.69724e-05
14.52 2.06720e-05 2.09836e-06 137 1.69480e-05 1.68891e-05 1.70449e-05
17.42 1.64833e-05 2.94679e-06 71 1.70249e-05 1.69358e-05 1.71781e-05
20.90 1.81964e-05 1.71838e-06 187 1.71481e-05 1.70354e-05 1.73342e-05
25.08 1.65378e-05 2.04438e-06 130 1.72952e-05 1.71383e-05 1.75965e-05
30.10 1.76431e-05 1.69341e-06 205 1.74552e-05 1.72505e-05 1.78324e-05
36.12 2.01736e-05 1.66334e-06 236 1.77205e-05 1.74291e-05 1.82817e-05
43.34 1.90717e-05 1.47983e-06 294 1.80632e-05 1.76476e-05 1.88832e-05
52.01 1.92085e-05 1.16427e-06 438 1.85951e-05 1.79778e-05 1.97831e-05
62.41 2.19642e-05 1.46463e-06 335 1.92154e-05 1.83256e-05 2.09793e-05
74.90 2.19013e-05 1.18227e-06 508 1.99631e-05 1.87561e-05 2.24100e-05
89.87 2.36801e-05 1.12776e-06 624 2.10944e-05 1.94541e-05 2.46425e-05
107.85 2.27547e-05 1.05831e-06 668 2.25308e-05 2.02256e-05 2.75813e-05
129.42 2.53985e-05 9.71764e-07 889 2.44643e-05 2.13032e-05 3.19050e-05
155.30 3.21139e-05 1.05875e-06 969 2.71045e-05 2.27028e-05 3.75105e-05
186.36 3.60623e-05 1.03851e-06 1146 3.02693e-05 2.42213e-05 4.52360e-05
223.64 4.09583e-05 1.01967e-06 1323 3.45824e-05 2.61349e-05 5.60982e-05
268.36 5.02680e-05 1.04587e-06 1542 3.99572e-05 2.83525e-05 7.02556e-05
322.04 5.87135e-05 1.04537e-06 1864 4.71699e-05 3.09924e-05 9.01418e-05
386.44 7.40679e-05 1.12234e-06 2110 5.62260e-05 3.40268e-05 1.17287e-04
463.73 9.13624e-05 1.18005e-06 2345 6.73568e-05 3.73027e-05 1.54073e-04
556.48 1.13275e-04 1.25775e-06 2541 8.11649e-05 4.13854e-05 2.04622e-04
667.77 1.54287e-04 1.45767e-06 2615 9.43585e-05 4.39083e-05 2.75159e-04
801.33 1.89056e-04 1.48134e-06 2912 1.12457e-04 4.66340e-05 3.76846e-04
961.59 2.17715e-04 1.54027e-06 2955 1.33471e-04 4.74815e-05 5.15999e-04
1153.91 2.10086e-04 1.57216e-06 2697 1.64352e-04 4.49145e-05 6.94044e-04
1384.70 1.66110e-04 1.70450e-06 2012 2.18061e-04 4.60492e-05 9.44512e-04
1661.63 1.32840e-04 2.90049e-06 676 2.82617e-04 4.99967e-05 1.24508e-03
