# simulations contain red noise only, the white noise is added as a constant
# white noise level: 1.7068680356e-05
# model DDM(tau = 1d) = 1.64e-09
#_tau D_DM sig(D_DM) n_pair sim sim_low sim_up
7.00 7.11592e-06 1.56223e-06 57 1.71122e-05 1.71022e-05 1.71257e-05
8.40 5.98294e-06 1.38729e-06 56 1.71285e-05 1.71145e-05 1.71484e-05
10.08 8.85917e-06 4.56956e-06 8 1.71514e-05 1.71144e-05 1.72035e-05
12.10 8.41887e-06 1.67028e-06 55 1.71884e-05 1.71594e-05 1.72292e-05
14.52 1.07219e-05 1.53516e-06 90 1.72156e-05 1.71820e-05 1.72718e-05
17.42 1.22387e-05 2.52694e-06 41 1.72673e-05 1.72072e-05 1.73580e-05
20.90 1.20210e-05 1.28138e-06 131 1.73428e-05 1.72808e-05 1.74574e-05
25.08 2.06604e-05 2.06969e-06 94 1.74442e-05 1.73460e-05 1.76149e-05
30.10 1.80447e-05 1.65715e-06 123 1.75424e-05 1.74292e-05 1.77577e-05
36.12 1.77560e-05 1.41985e-06 161 1.77096e-05 1.75439e-05 1.80164e-05
43.34 2.53621e-05 1.55512e-06 195 1.79321e-05 1.76947e-05 1.83805e-05
52.01 2.71371e-05 1.32037e-06 289 1.82748e-05 1.79269e-05 1.89319e-05
62.41 3.58152e-05 1.77898e-06 218 1.86864e-05 1.81945e-05 1.96333e-05
74.90 3.32211e-05 1.36713e-06 329 1.92068e-05 1.84748e-05 2.04881e-05
89.87 4.07152e-05 1.36403e-06 413 1.99609e-05 1.89468e-05 2.18242e-05
107.85 4.01818e-05 1.34068e-06 430 2.09340e-05 1.95084e-05 2.35267e-05
129.42 3.99411e-05 1.14125e-06 583 2.22690e-05 2.02472e-05 2.60626e-05
155.30 3.96432e-05 1.09437e-06 638 2.40280e-05 2.12409e-05 2.92195e-05
186.36 4.23782e-05 1.04796e-06 751 2.62204e-05 2.24371e-05 3.36063e-05
223.64 4.79953e-05 1.01792e-06 884 2.90732e-05 2.36997e-05 3.95801e-05
268.36 4.76373e-05 9.21162e-07 1050 3.28061e-05 2.51654e-05 4.80117e-05
322.04 4.72980e-05 8.47103e-07 1256 3.75967e-05 2.70347e-05 5.99948e-05
386.44 5.38681e-05 8.65240e-07 1407 4.40794e-05 2.90373e-05 7.63557e-05
463.73 3.83599e-05 6.78246e-07 1592 5.13254e-05 3.14302e-05 9.87486e-05
556.48 4.04127e-05 6.58459e-07 1854 6.09071e-05 3.46092e-05 1.26909e-04
667.77 4.89377e-05 7.21473e-07 2018 7.16883e-05 3.68250e-05 1.68334e-04
801.33 6.19222e-05 7.83390e-07 2134 8.74390e-05 3.93399e-05 2.25200e-04
961.59 5.04231e-05 7.45815e-07 2127 1.05491e-04 4.14481e-05 3.10806e-04
1153.91 6.11627e-05 9.55644e-07 1891 1.26466e-04 4.33774e-05 4.21159e-04
1384.70 1.12014e-04 1.57104e-06 1614 1.53595e-04 4.16601e-05 5.48919e-04
1661.63 8.92784e-05 2.56802e-06 801 1.99502e-04 3.67372e-05 7.22295e-04
