# simulations contain red noise only, the white noise is added as a constant
# white noise level: 2.6460824195e-07
# model DDM(tau = 1d) = 7.26e-11
#_tau D_DM sig(D_DM) n_pair sim sim_low sim_up
7.00 3.10699e-07 7.40340e-08 59 2.66541e-07 2.66030e-07 2.67236e-07
8.40 2.00898e-07 5.37729e-08 66 2.67233e-07 2.66565e-07 2.68138e-07
10.08 5.58735e-07 2.71947e-07 11 2.68104e-07 2.66592e-07 2.70821e-07
12.10 1.76677e-07 5.30938e-08 60 2.69924e-07 2.68472e-07 2.72141e-07
14.52 2.09555e-07 4.19929e-08 110 2.71180e-07 2.69538e-07 2.73776e-07
17.42 3.71313e-07 1.09875e-07 40 2.73759e-07 2.70989e-07 2.78297e-07
20.90 2.33621e-07 3.93239e-08 146 2.76816e-07 2.73500e-07 2.81982e-07
25.08 3.42659e-07 6.60313e-08 81 2.81963e-07 2.76680e-07 2.89543e-07
30.10 2.40387e-07 3.84630e-08 153 2.85486e-07 2.79604e-07 2.95661e-07
36.12 2.85288e-07 4.08087e-08 174 2.93188e-07 2.84522e-07 3.07725e-07
43.34 2.62576e-07 3.46186e-08 209 3.03251e-07 2.90646e-07 3.24118e-07
52.01 2.83976e-07 3.02888e-08 306 3.18103e-07 3.00045e-07 3.52273e-07
62.41 3.96304e-07 4.33570e-08 219 3.36086e-07 3.10935e-07 3.81795e-07
74.90 3.35200e-07 3.03737e-08 360 3.56938e-07 3.22481e-07 4.21329e-07
89.87 4.02624e-07 3.05621e-08 436 3.89573e-07 3.41590e-07 4.82718e-07
107.85 4.54852e-07 3.12121e-08 469 4.32040e-07 3.62695e-07 5.67839e-07
129.42 4.60577e-07 2.73214e-08 615 4.90188e-07 3.90104e-07 6.84537e-07
155.30 5.36640e-07 2.82931e-08 667 5.65535e-07 4.23973e-07 8.47228e-07
186.36 6.76347e-07 2.93433e-08 812 6.59414e-07 4.67005e-07 1.05609e-06
223.64 8.96092e-07 3.18591e-08 902 7.79760e-07 5.12059e-07 1.35365e-06
268.36 1.04783e-06 3.16670e-08 1076 9.42428e-07 5.72113e-07 1.73087e-06
322.04 1.37267e-06 3.37582e-08 1212 1.15496e-06 6.43538e-07 2.29704e-06
386.44 1.75999e-06 3.58480e-08 1397 1.40839e-06 7.22335e-07 3.06376e-06
463.73 2.30970e-06 4.00252e-08 1541 1.74744e-06 8.12928e-07 4.12694e-06
556.48 3.14141e-06 4.63616e-08 1642 2.10251e-06 9.06279e-07 5.44003e-06
667.77 4.47184e-06 5.22910e-08 1765 2.48537e-06 9.26173e-07 7.43426e-06
801.33 6.29181e-06 5.87726e-08 1954 3.10465e-06 9.79444e-07 9.94525e-06
961.59 8.43972e-06 7.09290e-08 1937 3.83898e-06 1.03704e-06 1.35543e-05
1153.91 1.15809e-05 9.52532e-08 1606 4.79687e-06 9.63939e-07 1.89818e-05
1384.70 1.50553e-05 1.83987e-07 780 6.55632e-06 9.94827e-07 2.57439e-05
