# simulations contain red noise only, the white noise is added as a constant
# white noise level: 3.2082195456e-06
# model DDM(tau = 1d) = 9.81e-12
#_tau D_DM sig(D_DM) n_pair sim sim_low sim_up
7.00 2.97553e-06 5.63321e-07 96 3.20848e-06 3.20842e-06 3.20857e-06
8.40 2.20317e-06 4.88061e-07 83 3.20857e-06 3.20849e-06 3.20870e-06
10.08 5.48319e-06 1.91587e-06 17 3.20872e-06 3.20855e-06 3.20897e-06
12.10 2.19424e-06 5.29485e-07 85 3.20892e-06 3.20873e-06 3.20921e-06
14.52 3.02182e-06 4.66223e-07 125 3.20911e-06 3.20889e-06 3.20944e-06
17.42 3.59551e-06 6.69491e-07 78 3.20940e-06 3.20908e-06 3.20996e-06
20.90 2.98701e-06 4.06824e-07 181 3.20986e-06 3.20941e-06 3.21064e-06
25.08 2.94645e-06 4.79564e-07 125 3.21039e-06 3.20981e-06 3.21157e-06
30.10 2.73338e-06 3.62150e-07 202 3.21107e-06 3.21031e-06 3.21252e-06
36.12 2.89465e-06 3.55596e-07 218 3.21208e-06 3.21099e-06 3.21409e-06
43.34 2.73887e-06 3.17748e-07 264 3.21332e-06 3.21183e-06 3.21627e-06
52.01 2.81255e-06 2.61065e-07 400 3.21544e-06 3.21320e-06 3.21966e-06
62.41 2.77665e-06 2.85132e-07 321 3.21789e-06 3.21472e-06 3.22398e-06
74.90 3.07807e-06 2.52222e-07 467 3.22111e-06 3.21661e-06 3.22936e-06
89.87 3.03532e-06 2.27984e-07 546 3.22559e-06 3.21931e-06 3.23736e-06
107.85 3.20458e-06 2.26018e-07 588 3.23119e-06 3.22234e-06 3.24902e-06
129.42 3.37990e-06 2.00445e-07 797 3.23932e-06 3.22668e-06 3.26493e-06
155.30 3.40057e-06 1.90183e-07 885 3.24955e-06 3.23206e-06 3.28794e-06
186.36 3.28930e-06 1.71442e-07 1052 3.26339e-06 3.23862e-06 3.31616e-06
223.64 3.36778e-06 1.56624e-07 1250 3.28195e-06 3.24695e-06 3.35759e-06
268.36 3.65570e-06 1.54160e-07 1405 3.30548e-06 3.25547e-06 3.41039e-06
322.04 4.19280e-06 1.50653e-07 1657 3.33820e-06 3.26540e-06 3.49070e-06
386.44 4.47229e-06 1.49573e-07 1822 3.38431e-06 3.27649e-06 3.60358e-06
463.73 4.20309e-06 1.33642e-07 2141 3.44093e-06 3.28952e-06 3.74887e-06
556.48 4.35219e-06 1.25337e-07 2488 3.50691e-06 3.30225e-06 3.94251e-06
667.77 4.24892e-06 1.21231e-07 2739 3.58575e-06 3.31912e-06 4.20668e-06
801.33 4.55762e-06 1.19195e-07 3026 3.67753e-06 3.33323e-06 4.59555e-06
961.59 4.56726e-06 1.22561e-07 3090 3.78357e-06 3.33194e-06 5.09321e-06
1153.91 3.81498e-06 1.15272e-07 3056 3.90811e-06 3.33473e-06 5.80365e-06
1384.70 3.19008e-06 1.17729e-07 2782 4.09037e-06 3.33395e-06 6.95763e-06
1661.63 3.72014e-06 1.77231e-07 1857 4.25382e-06 3.32815e-06 7.94312e-06
