# simulations contain red noise only, the white noise is added as a constant
# white noise level: 6.9400879484e-08
# model DDM(tau = 1d) = 2.42e-10
#_tau D_DM sig(D_DM) n_pair sim sim_low sim_up
7.00 8.39268e-08 1.36428e-08 138 7.59638e-08 7.40530e-08 7.91334e-08
8.40 7.37920e-08 1.39747e-08 117 7.84880e-08 7.54349e-08 8.30323e-08
10.08 7.81939e-08 1.70156e-08 71 8.15209e-08 7.66126e-08 9.15732e-08
12.10 9.99059e-08 1.22167e-08 205 8.69794e-08 8.11297e-08 9.68035e-08
14.52 1.32186e-07 1.01504e-08 368 9.09074e-08 8.26884e-08 1.06605e-07
17.42 2.20624e-07 1.42172e-08 303 9.63343e-08 8.40604e-08 1.25350e-07
20.90 1.13341e-07 1.12683e-08 273 1.12300e-07 9.75163e-08 1.36053e-07
25.08 1.30117e-07 1.06841e-08 328 1.26545e-07 1.04590e-07 1.68469e-07
30.10 1.54685e-07 8.81735e-09 552 1.39656e-07 1.10456e-07 2.00836e-07
36.12 2.77373e-07 1.15610e-08 642 1.66700e-07 1.23544e-07 2.56113e-07
43.34 3.05272e-07 1.13401e-08 724 1.99234e-07 1.44016e-07 3.08201e-07
52.01 5.07647e-07 1.33521e-08 841 2.50014e-07 1.71337e-07 4.12402e-07
62.41 4.42708e-07 1.36561e-08 708 3.13206e-07 2.05744e-07 5.29613e-07
74.90 7.08499e-07 1.44292e-08 1025 3.90445e-07 2.37808e-07 7.11137e-07
89.87 9.14182e-07 1.61598e-08 1089 5.09798e-07 3.06111e-07 9.39485e-07
107.85 1.06437e-06 1.65238e-08 1201 6.66658e-07 3.91032e-07 1.23334e-06
129.42 1.26622e-06 1.69469e-08 1432 8.65050e-07 4.96001e-07 1.65528e-06
155.30 1.25665e-06 1.57006e-08 1703 1.09163e-06 5.97943e-07 2.32007e-06
186.36 1.24896e-06 1.47602e-08 1975 1.38477e-06 6.99160e-07 3.20630e-06
223.64 1.64782e-06 1.73458e-08 1943 1.86326e-06 9.19989e-07 4.25816e-06
268.36 2.04758e-06 1.92469e-08 2009 2.45452e-06 1.15071e-06 5.64899e-06
322.04 2.16090e-06 1.84926e-08 2329 3.25431e-06 1.39822e-06 7.75401e-06
386.44 2.27975e-06 1.79028e-08 2632 4.32290e-06 1.70771e-06 1.02056e-05
463.73 2.33638e-06 1.62110e-08 2919 5.58203e-06 2.09587e-06 1.40868e-05
556.48 2.19128e-06 1.38352e-08 3423 7.19937e-06 2.36627e-06 1.95608e-05
667.77 2.62252e-06 1.42234e-08 3506 8.96118e-06 2.73656e-06 2.61377e-05
801.33 4.25380e-06 1.60872e-08 4511 1.10286e-05 3.07504e-06 3.56029e-05
961.59 5.57362e-06 2.07629e-08 4593 1.37078e-05 3.24197e-06 4.85309e-05
1153.91 5.55053e-06 1.87491e-08 5382 1.67702e-05 3.21463e-06 6.78380e-05
1384.70 1.15063e-05 2.68631e-08 4765 2.21353e-05 3.03641e-06 9.25388e-05
1661.63 1.89931e-05 6.08223e-08 1885 2.46997e-05 2.73478e-06 1.14470e-04
