# simulations contain red noise only, the white noise is added as a constant
# white noise level: 1.7402410613e-04
# model DDM(tau = 1d) = 6.96e-11
#_tau D_DM sig(D_DM) n_pair sim sim_low sim_up
7.00 1.42261e-04 3.88472e-05 43 1.74026e-04 1.74025e-04 1.74027e-04
8.40 1.34635e-04 3.61623e-05 39 1.74027e-04 1.74026e-04 1.74028e-04
10.08 1.58624e-04 8.01851e-05 9 1.74027e-04 1.74026e-04 1.74030e-04
12.10 1.80325e-04 4.07274e-05 44 1.74029e-04 1.74028e-04 1.74031e-04
14.52 1.51304e-04 3.09250e-05 79 1.74031e-04 1.74029e-04 1.74033e-04
17.42 2.74100e-04 5.79187e-05 30 1.74033e-04 1.74030e-04 1.74037e-04
20.90 1.72145e-04 2.69834e-05 109 1.74036e-04 1.74033e-04 1.74041e-04
25.08 1.69487e-04 3.46000e-05 63 1.74041e-04 1.74035e-04 1.74049e-04
30.10 1.53622e-04 2.52513e-05 98 1.74044e-04 1.74038e-04 1.74055e-04
36.12 1.84895e-04 2.71939e-05 121 1.74052e-04 1.74043e-04 1.74065e-04
43.34 1.90233e-04 2.45214e-05 140 1.74061e-04 1.74048e-04 1.74082e-04
52.01 1.61953e-04 1.82601e-05 223 1.74076e-04 1.74057e-04 1.74108e-04
62.41 1.82221e-04 2.20493e-05 167 1.74093e-04 1.74067e-04 1.74137e-04
74.90 1.88199e-04 1.82457e-05 260 1.74114e-04 1.74079e-04 1.74174e-04
89.87 1.95924e-04 1.63318e-05 327 1.74145e-04 1.74095e-04 1.74233e-04
107.85 1.82262e-04 1.56638e-05 335 1.74185e-04 1.74114e-04 1.74310e-04
129.42 1.76407e-04 1.35358e-05 460 1.74241e-04 1.74139e-04 1.74427e-04
155.30 1.78415e-04 1.31227e-05 503 1.74309e-04 1.74171e-04 1.74584e-04
186.36 1.87255e-04 1.27245e-05 540 1.74394e-04 1.74205e-04 1.74793e-04
223.64 1.73883e-04 1.14372e-05 649 1.74520e-04 1.74244e-04 1.75079e-04
268.36 1.64752e-04 1.04902e-05 753 1.74671e-04 1.74284e-04 1.75478e-04
322.04 1.65443e-04 9.86205e-06 845 1.74869e-04 1.74346e-04 1.76021e-04
386.44 1.82868e-04 9.89684e-06 935 1.75121e-04 1.74388e-04 1.76774e-04
463.73 1.91192e-04 9.77576e-06 1026 1.75421e-04 1.74439e-04 1.77675e-04
556.48 1.89730e-04 9.20370e-06 1128 1.75767e-04 1.74509e-04 1.79209e-04
667.77 1.77532e-04 8.82950e-06 1075 1.76071e-04 1.74524e-04 1.81130e-04
801.33 2.02195e-04 9.42219e-06 1044 1.76643e-04 1.74484e-04 1.83543e-04
961.59 1.90785e-04 1.04502e-05 752 1.77427e-04 1.74451e-04 1.87331e-04
1153.91 1.36127e-04 1.51304e-05 227 1.78447e-04 1.74474e-04 1.91229e-04
