# simulations contain red noise only, the white noise is added as a constant
# white noise level: 4.0268778778e-07
# model DDM(tau = 1d) = 7.40e-11
#_tau D_DM sig(D_DM) n_pair sim sim_low sim_up
7.00 3.99009e-07 9.57441e-08 67 4.04809e-07 4.04310e-07 4.05587e-07
8.40 1.74450e-07 4.91520e-07 2 4.04863e-07 4.03129e-07 4.08535e-07
10.08 6.85845e-07 1.09382e-06 2 4.05471e-07 4.03351e-07 4.11025e-07
12.10 7.87990e-09 1.99022e-07 1 4.05390e-07 4.02969e-07 4.14870e-07
14.52 5.48557e-07 1.21580e-07 63 4.09359e-07 4.07582e-07 4.12613e-07
17.42 5.80808e-07 5.43733e-07 6 4.10810e-07 4.05964e-07 4.19885e-07
20.90 4.43703e-07 1.14660e-07 62 4.15747e-07 4.11660e-07 4.22299e-07
25.08 4.40513e-07 4.23559e-07 8 4.17118e-07 4.08874e-07 4.34401e-07
30.10 5.42878e-07 1.34845e-07 57 4.23904e-07 4.16554e-07 4.36626e-07
36.12 7.45953e-07 1.43155e-07 68 4.33288e-07 4.22903e-07 4.51908e-07
43.34 5.01281e-07 1.14535e-07 65 4.43751e-07 4.28974e-07 4.70104e-07
52.01 7.92241e-07 1.09944e-07 117 4.60484e-07 4.37526e-07 5.01183e-07
62.41 7.63746e-07 1.58223e-07 60 4.78940e-07 4.47468e-07 5.36425e-07
74.90 9.56997e-07 1.22966e-07 121 5.01468e-07 4.59118e-07 5.77890e-07
89.87 9.26192e-07 9.85068e-08 155 5.35602e-07 4.74916e-07 6.53012e-07
107.85 1.07109e-06 1.23892e-07 137 5.79306e-07 4.91713e-07 7.43857e-07
129.42 7.83914e-07 8.25434e-08 212 6.33150e-07 5.15757e-07 8.81222e-07
155.30 6.87265e-07 7.61658e-08 216 7.10035e-07 5.44908e-07 1.06820e-06
186.36 1.00489e-06 8.52407e-08 251 8.10399e-07 5.81549e-07 1.30951e-06
223.64 8.72127e-07 7.70392e-08 270 9.40831e-07 6.26255e-07 1.62715e-06
268.36 8.39564e-07 6.88946e-08 321 1.09319e-06 6.64371e-07 2.07019e-06
322.04 1.22196e-06 7.68194e-08 367 1.34535e-06 7.23618e-07 2.67753e-06
386.44 1.37830e-06 7.21480e-08 442 1.64319e-06 7.76333e-07 3.57654e-06
463.73 1.63347e-06 7.49644e-08 506 2.01256e-06 8.40724e-07 4.70725e-06
556.48 1.95708e-06 8.21222e-08 533 2.44595e-06 8.84213e-07 6.24349e-06
667.77 2.40091e-06 9.45363e-08 474 2.93927e-06 9.47592e-07 8.36312e-06
801.33 4.01422e-06 1.40294e-07 380 3.25850e-06 9.23935e-07 1.16540e-05
961.59 4.37102e-06 1.62064e-07 380 3.94706e-06 8.58401e-07 1.50800e-05
1153.91 5.50161e-06 2.20396e-07 222 4.86025e-06 8.87714e-07 1.90319e-05
