# simulations contain red noise only, the white noise is added as a constant
# white noise level: 7.7190559005e-07
# model DDM(tau = 1d) = 1.99e-11
#_tau D_DM sig(D_DM) n_pair sim sim_low sim_up
7.00 6.67220e-07 1.44259e-07 79 7.72484e-07 7.72349e-07 7.72699e-07
8.40 8.56856e-07 6.70427e-07 4 7.72532e-07 7.72153e-07 7.73197e-07
10.08 7.45813e-07 8.09038e-07 2 7.72671e-07 7.72083e-07 7.74071e-07
12.10 1.34327e-06 1.14375e-06 2 7.73044e-07 7.72208e-07 7.75164e-07
14.52 6.44021e-07 1.43523e-07 76 7.73737e-07 7.73256e-07 7.74616e-07
17.42 3.67105e-07 3.92009e-07 4 7.73752e-07 7.72484e-07 7.76703e-07
20.90 9.42244e-07 1.81388e-07 72 7.75433e-07 7.74388e-07 7.77346e-07
25.08 2.60645e-07 2.22741e-07 9 7.75978e-07 7.73780e-07 7.80253e-07
30.10 7.86426e-07 1.67833e-07 72 7.77681e-07 7.75763e-07 7.80864e-07
36.12 7.97839e-07 1.57179e-07 79 7.80230e-07 7.77356e-07 7.84967e-07
43.34 6.78811e-07 1.54327e-07 75 7.82858e-07 7.78745e-07 7.89554e-07
52.01 8.42161e-07 1.22320e-07 143 7.87311e-07 7.81087e-07 7.97892e-07
62.41 8.95758e-07 1.64996e-07 76 7.92405e-07 7.83670e-07 8.07539e-07
74.90 8.44895e-07 1.21783e-07 145 7.97967e-07 7.86372e-07 8.19810e-07
89.87 8.78964e-07 1.14514e-07 181 8.06892e-07 7.90803e-07 8.40094e-07
107.85 1.00393e-06 1.34650e-07 152 8.17315e-07 7.95795e-07 8.63752e-07
129.42 9.57335e-07 1.02441e-07 243 8.33222e-07 8.01660e-07 9.01326e-07
155.30 1.02357e-06 1.05091e-07 240 8.54758e-07 8.09434e-07 9.54974e-07
186.36 1.07814e-06 1.00229e-07 298 8.80226e-07 8.20009e-07 1.02761e-06
223.64 1.03310e-06 9.44936e-08 322 9.13251e-07 8.31168e-07 1.11219e-06
268.36 1.12320e-06 9.02854e-08 427 9.56874e-07 8.45996e-07 1.22706e-06
322.04 1.29024e-06 9.30730e-08 491 1.01080e-06 8.60024e-07 1.40096e-06
386.44 1.23566e-06 8.72969e-08 514 1.07656e-06 8.68761e-07 1.65322e-06
463.73 1.51322e-06 9.63768e-08 508 1.15896e-06 8.74725e-07 2.00514e-06
556.48 1.70530e-06 1.10507e-07 526 1.24961e-06 8.87350e-07 2.44690e-06
667.77 1.62255e-06 9.66797e-08 519 1.38537e-06 9.06280e-07 3.07330e-06
801.33 1.75523e-06 1.05489e-07 432 1.54008e-06 9.12649e-07 3.94695e-06
961.59 1.73853e-06 1.52753e-07 210 1.67949e-06 8.87057e-07 5.23673e-06
1153.91 1.46157e-06 2.28893e-07 91 1.88072e-06 8.60007e-07 6.26051e-06
