# simulations contain red noise only, the white noise is added as a constant
# white noise level: 1.6916718485e-06
# model DDM(tau = 1d) = 1.18e-10
#_tau D_DM sig(D_DM) n_pair sim sim_low sim_up
7.00 1.39350e-06 3.34380e-07 83 1.69509e-06 1.69430e-06 1.69637e-06
8.40 2.67831e-06 1.48631e-06 6 1.69551e-06 1.69362e-06 1.69867e-06
10.08 3.40013e-07 1.26119e-06 2 1.69644e-06 1.69288e-06 1.70487e-06
12.10 9.47793e-07 1.54555e-06 3 1.69954e-06 1.69446e-06 1.71026e-06
14.52 1.54825e-06 3.44100e-07 82 1.70262e-06 1.69986e-06 1.70770e-06
17.42 5.43518e-07 9.22601e-07 5 1.70321e-06 1.69612e-06 1.72045e-06
20.90 1.85685e-06 3.80134e-07 81 1.71281e-06 1.70671e-06 1.72408e-06
25.08 3.42782e-06 1.82511e-06 9 1.71583e-06 1.70355e-06 1.74226e-06
30.10 1.97306e-06 3.98056e-07 82 1.72594e-06 1.71499e-06 1.74635e-06
36.12 2.26519e-06 3.99205e-07 88 1.74017e-06 1.72488e-06 1.77037e-06
43.34 2.26318e-06 4.11981e-07 87 1.75677e-06 1.73513e-06 1.80144e-06
52.01 1.96765e-06 2.80931e-07 162 1.78390e-06 1.74999e-06 1.85271e-06
62.41 2.30817e-06 4.09051e-07 89 1.81385e-06 1.76677e-06 1.91030e-06
74.90 2.28778e-06 2.97238e-07 164 1.85016e-06 1.78680e-06 1.98151e-06
89.87 2.78456e-06 2.91904e-07 208 1.90744e-06 1.81750e-06 2.09679e-06
107.85 2.66934e-06 3.08355e-07 188 1.97494e-06 1.85052e-06 2.23828e-06
129.42 2.85216e-06 2.56811e-07 287 2.06973e-06 1.89424e-06 2.44995e-06
155.30 2.67359e-06 2.52169e-07 280 2.18453e-06 1.94797e-06 2.75971e-06
186.36 2.85407e-06 2.39488e-07 327 2.31985e-06 2.00270e-06 3.17157e-06
223.64 3.01978e-06 2.34779e-07 372 2.53420e-06 2.08227e-06 3.64921e-06
268.36 3.06120e-06 2.03892e-07 475 2.76773e-06 2.16250e-06 4.40404e-06
322.04 3.10807e-06 1.82231e-07 572 3.07663e-06 2.27722e-06 5.44876e-06
386.44 4.18869e-06 2.01467e-07 621 3.50864e-06 2.39106e-06 6.88150e-06
463.73 4.74337e-06 2.14041e-07 649 3.91864e-06 2.43984e-06 8.94247e-06
556.48 5.38668e-06 2.27959e-07 702 4.53818e-06 2.51430e-06 1.16068e-05
667.77 6.19268e-06 2.42057e-07 689 5.30016e-06 2.60279e-06 1.56822e-05
801.33 7.23587e-06 2.76333e-07 596 6.21768e-06 2.55118e-06 2.04992e-05
961.59 8.88748e-06 3.84493e-07 463 7.33420e-06 2.51010e-06 2.81349e-05
1153.91 3.99771e-06 3.15874e-07 250 8.73988e-06 2.51730e-06 3.47587e-05
