# simulations contain red noise only, the white noise is added as a constant
# white noise level: 3.1555469300e-07
# model DDM(tau = 1d) = 5.51e-10
#_tau D_DM sig(D_DM) n_pair sim sim_low sim_up
7.00 2.30644e-07 5.04127e-08 79 3.30990e-07 3.27356e-07 3.36801e-07
8.40 2.20943e-07 1.40825e-07 4 3.32609e-07 3.23121e-07 3.50452e-07
10.08 1.59149e-06 2.30022e-06 1 3.32527e-07 3.17545e-07 3.79846e-07
12.10 2.38577e-07 2.93359e-07 2 3.48480e-07 3.23323e-07 4.09670e-07
14.52 2.58452e-07 4.98806e-08 80 3.65654e-07 3.52781e-07 3.88729e-07
17.42 4.31578e-07 7.20091e-07 2 3.58002e-07 3.23165e-07 4.63541e-07
20.90 3.79516e-07 6.29431e-08 78 4.13258e-07 3.84846e-07 4.64335e-07
25.08 5.87350e-07 6.23834e-07 4 4.18283e-07 3.43908e-07 5.66439e-07
30.10 3.60105e-07 6.39684e-08 71 4.70887e-07 4.21166e-07 5.65226e-07
36.12 4.26155e-07 6.87999e-08 78 5.41278e-07 4.66179e-07 6.80454e-07
43.34 5.64637e-07 8.38877e-08 73 6.12250e-07 5.09295e-07 8.12918e-07
52.01 6.71028e-07 6.49784e-08 141 7.48426e-07 5.84676e-07 1.05308e-06
62.41 8.39688e-07 9.82063e-08 78 8.96020e-07 6.64615e-07 1.31126e-06
74.90 1.06194e-06 8.08283e-08 145 1.06474e-06 7.44262e-07 1.63050e-06
89.87 1.45700e-06 9.28082e-08 168 1.31559e-06 8.48755e-07 2.20476e-06
107.85 1.80734e-06 1.04308e-07 167 1.64297e-06 9.98813e-07 2.83307e-06
129.42 2.37425e-06 1.00801e-07 251 2.08774e-06 1.21322e-06 3.82746e-06
155.30 3.27696e-06 1.19114e-07 242 2.68111e-06 1.39584e-06 5.43454e-06
186.36 4.75729e-06 1.34686e-07 291 3.38020e-06 1.64718e-06 7.22431e-06
223.64 5.77130e-06 1.41324e-07 318 4.39674e-06 1.99497e-06 9.65225e-06
268.36 7.30952e-06 1.44612e-07 409 5.61390e-06 2.30873e-06 1.28803e-05
322.04 9.49569e-06 1.47007e-07 493 7.30262e-06 2.73052e-06 1.75852e-05
386.44 1.32985e-05 1.59522e-07 553 9.45373e-06 3.11121e-06 2.45744e-05
463.73 1.91683e-05 1.81628e-07 570 1.18038e-05 3.40620e-06 3.31419e-05
556.48 2.64956e-05 2.03965e-07 619 1.47122e-05 3.75372e-06 4.51695e-05
667.77 3.50051e-05 2.64246e-07 609 1.85110e-05 4.12164e-06 6.13549e-05
801.33 3.74010e-05 2.86959e-07 489 2.27794e-05 3.92215e-06 8.39446e-05
961.59 3.23575e-05 3.02097e-07 343 2.95097e-05 3.36470e-06 1.16688e-04
1153.91 2.53725e-05 3.77265e-07 197 3.62310e-05 3.79196e-06 1.53438e-04
