# simulations contain red noise only, the white noise is added as a constant
# white noise level: 3.2831344402e-04
# model DDM(tau = 1d) = 5.04e-09
#_tau D_DM sig(D_DM) n_pair sim sim_low sim_up
7.00 2.44204e-04 6.23210e-05 68 3.28462e-04 3.28428e-04 3.28512e-04
8.40 1.64005e-04 2.71094e-04 2 3.28451e-04 3.28346e-04 3.28665e-04
10.08 7.01284e-04 6.88518e-04 2 3.28504e-04 3.28357e-04 3.28876e-04
12.10 3.54467e-04 3.21503e-04 4 3.28660e-04 3.28451e-04 3.29042e-04
14.52 2.43123e-04 6.30211e-05 65 3.28788e-04 3.28660e-04 3.28990e-04
17.42 9.14661e-04 4.85426e-04 4 3.28743e-04 3.28448e-04 3.29638e-04
20.90 2.28312e-04 6.20740e-05 66 3.29218e-04 3.28955e-04 3.29682e-04
25.08 8.67120e-04 3.71166e-04 7 3.29144e-04 3.28648e-04 3.30621e-04
30.10 2.86039e-04 7.30926e-05 59 3.29797e-04 3.29284e-04 3.30645e-04
36.12 2.85369e-04 6.98955e-05 65 3.30382e-04 3.29680e-04 3.31732e-04
43.34 2.91367e-04 7.18988e-05 63 3.31041e-04 3.30086e-04 3.32892e-04
52.01 2.20872e-04 4.67499e-05 112 3.32120e-04 3.30681e-04 3.35089e-04
62.41 2.94299e-04 7.35932e-05 61 3.33403e-04 3.31305e-04 3.37516e-04
74.90 2.59833e-04 4.96496e-05 113 3.34829e-04 3.31989e-04 3.40535e-04
89.87 2.31592e-04 4.26531e-05 141 3.37184e-04 3.33034e-04 3.45951e-04
107.85 2.70200e-04 4.87456e-05 119 3.39817e-04 3.33822e-04 3.52093e-04
129.42 3.11795e-04 4.25609e-05 188 3.43496e-04 3.35354e-04 3.61663e-04
155.30 3.17735e-04 4.23136e-05 193 3.48204e-04 3.36991e-04 3.74963e-04
186.36 3.12011e-04 3.81083e-05 227 3.53772e-04 3.38656e-04 3.92194e-04
223.64 4.22688e-04 4.47923e-05 235 3.60589e-04 3.40575e-04 4.15641e-04
268.36 3.64994e-04 3.69564e-05 284 3.69461e-04 3.42737e-04 4.44835e-04
322.04 3.50588e-04 3.43093e-05 334 3.85702e-04 3.47028e-04 4.87758e-04
386.44 3.43648e-04 3.12310e-05 390 4.03977e-04 3.51624e-04 5.44856e-04
463.73 3.85520e-04 3.10107e-05 428 4.24645e-04 3.56601e-04 6.22553e-04
556.48 3.59010e-04 3.05348e-05 416 4.48667e-04 3.58159e-04 7.28753e-04
667.77 3.51126e-04 3.27202e-05 363 4.77532e-04 3.63568e-04 8.90454e-04
801.33 3.25098e-04 4.36343e-05 209 4.96141e-04 3.58388e-04 1.13051e-03
961.59 2.82887e-04 4.36210e-05 206 5.52873e-04 3.48483e-04 1.43409e-03
1153.91 2.75541e-04 5.15728e-05 134 5.94554e-04 3.48163e-04 1.69161e-03
