#_MJD RANGE DM DMunc nToA chisq
57474.9276314402 2.38431e-06 27.292021522102937209 0.00018479017807389346 10 2.1033 
57479.7614363813 2.4539e-06 27.292223205046000103 0.00014613493885755238 10 0.4854 
57486.7796851239 2.41536e-06 27.29205915807804423 0.00021961487577774359 10 2.0654 
57492.7919248812 2.41413e-06 27.292238301016255846 0.00027986893261691486 9 2.9467 
57502.7762665314 2.37861e-06 27.292006507646540559 0.00015884701655688823 10 1.2485 
57509.7450623895 2.40017e-06 27.292052152690926253 0.00019764561805090143 10 1.1216 
57516.7669829559 2.40087e-06 27.292225246722767822 0.00023092695924010762 10 1.2955 
57529.6963188547 2.43667e-06 27.292365703948979474 0.00017296108848024035 9 0.4805 
57537.7033868534 2.40083e-06 27.292727329080362702 0.00019770462060547114 10 0.7542 
57543.6629456099 2.42891e-06 27.293147861588226137 0.00018162205598553450 10 0.6615 
57551.6166599528 2.44473e-06 27.292474831013555399 0.00047701727899061863 8 4.1391 
57557.6127878464 2.41937e-06 27.292360941417732875 0.00017776514573963171 9 1.9817 
57564.6186799699 2.38535e-06 27.292481301141254627 0.00015386120725178939 10 1.3895 
57572.5775791133 2.42324e-06 27.292246060197708012 0.00015540195618470344 10 1.3295 
57577.5409454916 2.42851e-06 27.2923615990120693 0.00024657691066646615 9 1.1847 
57592.5399842367 2.41669e-06 27.292547357024003281 0.00012426429306527410 9 2.0515 
57607.5048766338 2.46197e-06 27.292604820708315722 0.00014023087139234381 10 4.8913 
57612.4583007768 2.4326e-06 27.292596050151731631 0.00012941560553202171 9 2.3498 
57621.5493605663 2.45607e-06 27.292551568745651032 0.00022759474530427621 10 2.5350 
57627.4720743792 2.4571e-06 27.292921671035596427 0.00012448605713063558 10 0.6120 
57634.4143578314 2.43821e-06 27.292978359659319326 0.00017256639121692051 10 1.0964 
57641.2481808838 2.45478e-06 27.293341928131251605 0.00043565551101749103 10 0.9653 
57650.2816914291 2.46073e-06 27.293484337743931758 0.00028688551232939648 10 1.0082 
57655.3257876938 2.41822e-06 27.293894986843974337 0.00016570736136899657 10 0.8697 
57663.3150016780 2.41855e-06 27.293633431056896594 0.00021133790274257904 10 1.9992 
57699.2147132134 2.39692e-06 27.294141339973488363 0.00013941834502362752 9 0.9348 
57705.2899330430 2.47089e-06 27.293922554457733036 0.00027154209572000825 10 0.7503 
