#_MJD RANGE DM DMunc nToA chisq
56887.3347232481 1.04558e-06 77.679447352463106238 0.00456670140743276835 8 0.4641 
56894.2722421612 9.94085e-07 77.670368247157078441 0.00454688063721493587 7 0.4151 
56908.2722258237 1.02386e-06 77.678706713289220748 0.00418555164533348026 8 0.3729 
56915.2270210580 1.31521e-06 77.675316198967355931 0.00645957940423926708 8 0.9503 
56922.2270776417 1.01222e-06 77.679525511671239091 0.00633763971568351066 8 0.7916 
56929.1819478601 9.03594e-07 77.673501499121115954 0.00504753492457103367 7 0.6174 
56936.1819033833 1.22798e-06 77.672118528710001828 0.00853096913288509638 8 1.5707 
56943.1819256237 1.00522e-06 77.675321494816124135 0.00573692736359830875 8 0.5845 
56949.1817871285 1.39993e-06 77.682768943919593932 0.00644720859064808628 8 1.0590 
56956.1402582745 1.11721e-06 77.673647125588188303 0.00746785739924059420 8 1.6379 
56969.0500681545 1.14226e-06 77.677028200217732294 0.00354523377530101139 8 0.3472 
56978.0915334315 1.23097e-06 77.675344750587561056 0.00413818365589650478 8 0.5447 
56992.0499415196 9.9832e-07 77.676602584765735364 0.00523465051647012923 7 0.6861 
56999.0083346927 1.31852e-06 77.683297455981370434 0.00320374360205367406 8 0.4207 
57006.0082761704 1.03092e-06 77.685128699618145022 0.00592683471693745793 7 0.6548 
57012.9631974306 1.24921e-06 77.677728424495115042 0.00348491286429807555 8 0.4691 
57019.9632205407 1.06013e-06 77.66462699359567351 0.00561940415538485748 7 0.9855 
57026.9180819897 1.24106e-06 77.672332566498359221 0.00404299049781111329 8 0.7260 
57033.9146160930 1.29862e-06 77.668462641354240224 0.00621874900066234776 8 1.5325 
57040.9145570237 1.2015e-06 77.665784875444962551 0.00789732868670624082 7 1.3718 
57047.8694916846 1.06642e-06 77.675018728077772287 0.00565936188671211510 7 0.9997 
57054.8695102492 1.24287e-06 77.672778801202841434 0.00739920109526660558 7 1.4509 
57068.8243235721 1.21587e-06 77.673195558120031318 0.00426443803796656019 7 0.4422 
57075.8069759825 1.26992e-06 77.683560805408040574 0.00513783813935779661 8 0.7288 
57082.8068962848 1.34614e-06 77.658553382856645539 0.00826101173487578909 7 1.4189 
57089.7618396236 1.21213e-06 77.681235302327956385 0.00600581727020646147 7 0.6732 
