# simulations contain red noise only, the white noise is added as a constant
# white noise level: 1.0830321990e-07
# model DDM(tau = 1d) = 4.32e-11
#_tau D_DM sig(D_DM) n_pair sim sim_low sim_up
7.00 1.62139e-07 2.68103e-08 129 1.09512e-07 1.09285e-07 1.09890e-07
8.40 9.74780e-08 1.24762e-07 3 1.09593e-07 1.08803e-07 1.11329e-07
10.08 9.08417e-08 9.13000e-08 7 1.10456e-07 1.09403e-07 1.12229e-07
12.10 1.36103e-08 1.14551e-07 1 1.09754e-07 1.08451e-07 1.14626e-07
14.52 1.24513e-07 2.19574e-08 132 1.12177e-07 1.11338e-07 1.13643e-07
17.42 2.00846e-07 1.31854e-07 9 1.13170e-07 1.10893e-07 1.17492e-07
20.90 1.30960e-07 2.38026e-08 128 1.15855e-07 1.13970e-07 1.19105e-07
25.08 1.76215e-07 1.11879e-07 9 1.16671e-07 1.12523e-07 1.24716e-07
30.10 1.42250e-07 2.34832e-08 140 1.20579e-07 1.17150e-07 1.26316e-07
36.12 1.50142e-07 2.57981e-08 132 1.25827e-07 1.20706e-07 1.34811e-07
43.34 2.02262e-07 2.92624e-08 138 1.32026e-07 1.24544e-07 1.44552e-07
52.01 1.63431e-07 1.91784e-08 266 1.42145e-07 1.30765e-07 1.60958e-07
62.41 2.06504e-07 2.96846e-08 147 1.52728e-07 1.37281e-07 1.80554e-07
74.90 2.30347e-07 2.31672e-08 266 1.65576e-07 1.44759e-07 2.04242e-07
89.87 2.40806e-07 2.04363e-08 360 1.87442e-07 1.55879e-07 2.45511e-07
107.85 2.84318e-07 2.44812e-08 298 2.11735e-07 1.68092e-07 2.95893e-07
129.42 2.90952e-07 1.87695e-08 504 2.48154e-07 1.83860e-07 3.66227e-07
155.30 3.62318e-07 2.06335e-08 508 2.96321e-07 2.01425e-07 4.68966e-07
186.36 3.87025e-07 1.94934e-08 624 3.56681e-07 2.26263e-07 6.01597e-07
223.64 4.81486e-07 2.06834e-08 671 4.30996e-07 2.54307e-07 7.78943e-07
268.36 5.68598e-07 1.97868e-08 830 5.33085e-07 2.89987e-07 1.01821e-06
322.04 6.90178e-07 2.08384e-08 987 6.55819e-07 3.34747e-07 1.36938e-06
386.44 8.25621e-07 2.21364e-08 1065 8.05832e-07 3.67434e-07 1.84174e-06
463.73 8.30645e-07 2.09961e-08 1188 1.01225e-06 4.12566e-07 2.49069e-06
556.48 8.76179e-07 2.01962e-08 1332 1.21257e-06 4.74773e-07 3.15787e-06
667.77 9.84511e-07 2.16101e-08 1336 1.49816e-06 4.79128e-07 4.11746e-06
801.33 1.26304e-06 2.35542e-08 1367 1.88122e-06 5.08795e-07 5.66464e-06
961.59 1.70686e-06 2.83746e-08 1221 2.28522e-06 4.87718e-07 7.89786e-06
1153.91 2.30549e-06 3.90775e-08 902 2.76794e-06 4.67199e-07 1.07782e-05
1384.70 3.20513e-06 7.33403e-08 349 3.57655e-06 4.47885e-07 1.53490e-05
