# simulations contain red noise only, the white noise is added as a constant
# white noise level: 1.6424905944e-07
# model DDM(tau = 1d) = 1.22e-10
#_tau D_DM sig(D_DM) n_pair sim sim_low sim_up
7.00 1.97319e-07 1.46265e-08 140 1.67606e-07 1.66953e-07 1.68563e-07
8.40 1.45839e-07 9.80136e-08 5 1.67840e-07 1.65930e-07 1.71168e-07
10.08 1.28498e-07 5.51208e-08 7 1.70677e-07 1.67438e-07 1.75655e-07
12.10 3.14881e-07 1.74859e-07 4 1.72690e-07 1.67775e-07 1.80681e-07
14.52 2.32886e-07 1.63648e-08 144 1.74999e-07 1.72577e-07 1.78892e-07
17.42 1.09888e-07 4.69845e-08 8 1.78557e-07 1.71268e-07 1.90931e-07
20.90 1.96934e-07 1.48942e-08 147 1.85305e-07 1.79946e-07 1.93640e-07
25.08 9.27890e-08 4.24202e-08 13 1.92026e-07 1.79695e-07 2.10293e-07
30.10 2.50135e-07 1.73864e-08 149 1.98184e-07 1.89176e-07 2.13839e-07
36.12 2.67736e-07 1.79445e-08 153 2.13282e-07 1.99285e-07 2.35944e-07
43.34 2.44356e-07 1.67819e-08 154 2.30000e-07 2.09861e-07 2.63286e-07
52.01 2.85759e-07 1.29853e-08 297 2.58348e-07 2.27621e-07 3.09318e-07
62.41 2.98979e-07 1.80631e-08 161 2.89350e-07 2.46629e-07 3.61238e-07
74.90 2.96120e-07 1.31059e-08 301 3.27087e-07 2.67646e-07 4.23303e-07
89.87 3.93242e-07 1.31780e-08 398 3.90553e-07 2.99980e-07 5.35930e-07
107.85 4.69073e-07 1.57159e-08 344 4.61310e-07 3.40895e-07 6.66715e-07
129.42 5.16234e-07 1.27310e-08 553 5.63478e-07 3.90523e-07 8.67025e-07
155.30 6.29565e-07 1.38306e-08 564 7.08683e-07 4.58937e-07 1.14905e-06
186.36 8.40145e-07 1.46876e-08 677 8.81529e-07 5.32455e-07 1.52412e-06
223.64 1.08385e-06 1.59770e-08 740 1.10497e-06 6.21240e-07 2.01599e-06
268.36 1.37065e-06 1.61001e-08 923 1.39033e-06 7.16792e-07 2.67781e-06
322.04 1.91667e-06 1.72763e-08 1131 1.80983e-06 8.50244e-07 3.67866e-06
386.44 2.50151e-06 1.90542e-08 1251 2.31948e-06 1.00486e-06 5.05024e-06
463.73 3.18497e-06 2.00984e-08 1405 2.95181e-06 1.15250e-06 6.66973e-06
556.48 4.24669e-06 2.20002e-08 1578 3.74233e-06 1.38866e-06 9.24867e-06
667.77 6.14280e-06 2.58249e-08 1658 4.59456e-06 1.63740e-06 1.27252e-05
801.33 8.31006e-06 2.99964e-08 1732 5.51915e-06 1.81912e-06 1.78630e-05
961.59 1.16989e-05 3.69455e-08 1733 6.94431e-06 1.82715e-06 2.46918e-05
1153.91 1.75111e-05 4.96253e-08 1569 9.34997e-06 1.74356e-06 3.31505e-05
1384.70 2.92471e-05 8.92265e-08 1036 1.14928e-05 1.56682e-06 4.47135e-05
1661.63 4.69034e-05 2.75063e-07 325 1.36533e-05 1.57621e-06 5.48453e-05
