# simulations contain red noise only, the white noise is added as a constant
# white noise level: 1.2238997159e-06
# model DDM(tau = 1d) = 2.99e-12
#_tau D_DM sig(D_DM) n_pair sim sim_low sim_up
7.00 1.04247e-06 1.65034e-07 141 1.22398e-06 1.22397e-06 1.22401e-06
8.40 1.61450e-06 7.61016e-07 10 1.22401e-06 1.22397e-06 1.22407e-06
10.08 2.99502e-07 5.17521e-07 4 1.22403e-06 1.22396e-06 1.22419e-06
12.10 1.96137e-06 9.46245e-07 6 1.22409e-06 1.22399e-06 1.22429e-06
14.52 1.03422e-06 1.64977e-07 145 1.22417e-06 1.22411e-06 1.22426e-06
17.42 1.15988e-06 6.05006e-07 11 1.22425e-06 1.22410e-06 1.22452e-06
20.90 1.07023e-06 1.66121e-07 147 1.22442e-06 1.22429e-06 1.22464e-06
25.08 1.32757e-06 5.05250e-07 15 1.22456e-06 1.22427e-06 1.22507e-06
30.10 1.34347e-06 1.79147e-07 153 1.22475e-06 1.22452e-06 1.22515e-06
36.12 1.06622e-06 1.65270e-07 153 1.22510e-06 1.22476e-06 1.22570e-06
43.34 1.13679e-06 1.62937e-07 158 1.22552e-06 1.22503e-06 1.22639e-06
52.01 1.15836e-06 1.21317e-07 299 1.22619e-06 1.22545e-06 1.22753e-06
62.41 1.30881e-06 1.72135e-07 167 1.22694e-06 1.22592e-06 1.22883e-06
74.90 1.23280e-06 1.22380e-07 310 1.22784e-06 1.22645e-06 1.23040e-06
89.87 1.07290e-06 9.94919e-08 406 1.22940e-06 1.22729e-06 1.23319e-06
107.85 1.36749e-06 1.20293e-07 351 1.23095e-06 1.22817e-06 1.23641e-06
129.42 1.24237e-06 8.99443e-08 574 1.23337e-06 1.22939e-06 1.24127e-06
155.30 1.29558e-06 9.15107e-08 575 1.23671e-06 1.23099e-06 1.24829e-06
186.36 1.40902e-06 8.71624e-08 690 1.24022e-06 1.23274e-06 1.25791e-06
223.64 1.40129e-06 8.30339e-08 761 1.24542e-06 1.23500e-06 1.27017e-06
268.36 1.42623e-06 7.51153e-08 938 1.25134e-06 1.23735e-06 1.28759e-06
322.04 1.45004e-06 6.89174e-08 1172 1.25980e-06 1.24060e-06 1.31151e-06
386.44 1.56587e-06 6.79342e-08 1296 1.27119e-06 1.24393e-06 1.34493e-06
463.73 1.61420e-06 6.51556e-08 1439 1.28387e-06 1.24593e-06 1.39041e-06
556.48 1.64212e-06 6.16797e-08 1642 1.30002e-06 1.24868e-06 1.46012e-06
667.77 1.60291e-06 5.92611e-08 1719 1.31935e-06 1.25150e-06 1.55308e-06
801.33 1.48830e-06 5.64933e-08 1802 1.34685e-06 1.25469e-06 1.69161e-06
961.59 1.48822e-06 5.77033e-08 1761 1.38152e-06 1.25675e-06 1.86604e-06
1153.91 1.33385e-06 5.87318e-08 1579 1.42192e-06 1.25763e-06 2.10505e-06
1384.70 1.27819e-06 6.73009e-08 1075 1.48707e-06 1.25662e-06 2.41330e-06
1661.63 1.40119e-06 1.17383e-07 394 1.56150e-06 1.24863e-06 2.65997e-06
