# simulations contain red noise only, the white noise is added as a constant
# white noise level: 3.0453232115e-08
# model DDM(tau = 1d) = 4.38e-11
#_tau D_DM sig(D_DM) n_pair sim sim_low sim_up
7.00 4.31556e-08 3.90273e-09 93 3.16712e-08 3.14110e-08 3.20494e-08
8.40 1.68879e-08 1.12806e-08 5 3.20495e-08 3.11350e-08 3.32933e-08
10.08 1.39485e-08 9.81976e-09 5 3.26398e-08 3.14604e-08 3.47361e-08
12.10 5.96755e-08 1.91301e-08 4 3.33882e-08 3.16267e-08 3.62156e-08
14.52 4.31284e-08 3.95367e-09 92 3.43949e-08 3.34144e-08 3.58259e-08
17.42 5.17201e-08 1.28932e-08 11 3.55390e-08 3.33572e-08 3.92351e-08
20.90 4.12621e-08 3.73308e-09 100 3.81319e-08 3.60699e-08 4.14387e-08
25.08 3.75016e-08 9.81027e-09 11 3.99778e-08 3.53208e-08 4.78048e-08
30.10 4.91452e-08 4.10167e-09 94 4.28348e-08 3.91354e-08 4.90407e-08
36.12 6.51701e-08 4.73471e-09 96 4.81376e-08 4.25417e-08 5.71623e-08
43.34 7.96134e-08 5.26093e-09 102 5.43728e-08 4.62911e-08 6.72154e-08
52.01 8.11121e-08 3.89505e-09 185 6.45515e-08 5.24826e-08 8.38810e-08
62.41 8.21150e-08 5.13271e-09 108 7.58546e-08 5.91043e-08 1.04084e-07
74.90 8.86015e-08 4.01517e-09 197 8.90542e-08 6.68771e-08 1.25284e-07
89.87 1.19126e-07 4.12685e-09 251 1.11309e-07 7.91598e-08 1.66942e-07
107.85 1.48854e-07 5.24648e-09 204 1.37269e-07 9.33143e-08 2.14812e-07
129.42 1.62079e-07 4.24418e-09 341 1.72155e-07 1.11278e-07 2.81600e-07
155.30 2.55215e-07 5.40397e-09 356 2.21247e-07 1.35360e-07 3.80462e-07
186.36 4.12535e-07 6.23527e-09 438 2.81977e-07 1.62356e-07 5.09841e-07
223.64 4.69722e-07 6.35818e-09 478 3.57879e-07 1.99812e-07 6.92835e-07
268.36 5.69325e-07 6.11814e-09 582 4.57008e-07 2.37695e-07 9.34708e-07
322.04 4.05177e-07 4.39106e-09 733 5.82456e-07 2.82828e-07 1.25843e-06
386.44 4.91268e-07 4.55199e-09 844 7.59736e-07 3.47952e-07 1.73354e-06
463.73 5.76304e-07 4.85194e-09 901 9.57984e-07 3.98960e-07 2.33861e-06
556.48 8.70968e-07 6.22081e-09 959 1.19471e-06 4.50319e-07 3.26523e-06
667.77 9.92646e-07 6.02734e-09 1013 1.50374e-06 4.87585e-07 4.50348e-06
801.33 1.00008e-06 5.74231e-09 1083 1.92726e-06 5.37686e-07 6.09098e-06
961.59 1.94776e-06 9.00958e-09 1003 2.37765e-06 5.59044e-07 8.36256e-06
1153.91 2.23706e-06 9.92958e-09 816 3.01657e-06 5.97485e-07 1.12641e-05
1384.70 6.07998e-06 2.61422e-08 436 3.64529e-06 6.22026e-07 1.52836e-05
1661.63 1.72518e-05 1.61174e-07 83 4.57834e-06 6.34869e-07 2.00097e-05
