# simulations contain red noise only, the white noise is added as a constant
# white noise level: 2.3570351139e-07
# model DDM(tau = 1d) = 3.08e-12
#_tau D_DM sig(D_DM) n_pair sim sim_low sim_up
7.00 1.90145e-07 3.80793e-08 130 2.35787e-07 2.35770e-07 2.35811e-07
8.40 7.32772e-07 3.84268e-07 5 2.35808e-07 2.35754e-07 2.35887e-07
10.08 1.69364e-07 1.24990e-07 8 2.35854e-07 2.35784e-07 2.35962e-07
12.10 1.50991e-07 1.16037e-07 7 2.35909e-07 2.35802e-07 2.36078e-07
14.52 1.89241e-07 3.76674e-08 133 2.35976e-07 2.35913e-07 2.36073e-07
17.42 1.33039e-07 1.09791e-07 11 2.36077e-07 2.35918e-07 2.36330e-07
20.90 2.03915e-07 4.02888e-08 132 2.36230e-07 2.36095e-07 2.36445e-07
25.08 1.93391e-07 9.05122e-08 19 2.36408e-07 2.36130e-07 2.36824e-07
30.10 2.54737e-07 4.25792e-08 142 2.36575e-07 2.36324e-07 2.36950e-07
36.12 2.23806e-07 3.98203e-08 138 2.36953e-07 2.36574e-07 2.37522e-07
43.34 2.18688e-07 3.80047e-08 146 2.37368e-07 2.36844e-07 2.38201e-07
52.01 2.33111e-07 2.98360e-08 266 2.38071e-07 2.37268e-07 2.39385e-07
62.41 2.09804e-07 3.72771e-08 151 2.38865e-07 2.37716e-07 2.40740e-07
74.90 2.15116e-07 2.77595e-08 276 2.39774e-07 2.38242e-07 2.42343e-07
89.87 2.28834e-07 2.52297e-08 361 2.41322e-07 2.39074e-07 2.45129e-07
107.85 2.42787e-07 2.91478e-08 296 2.43111e-07 2.40010e-07 2.48614e-07
129.42 2.73517e-07 2.39402e-08 487 2.45575e-07 2.41232e-07 2.53666e-07
155.30 2.41855e-07 2.18335e-08 504 2.49183e-07 2.42868e-07 2.61126e-07
186.36 2.99125e-07 2.25333e-08 600 2.53465e-07 2.44671e-07 2.70790e-07
223.64 2.83065e-07 2.03650e-08 674 2.59268e-07 2.47113e-07 2.84781e-07
268.36 3.42179e-07 2.04264e-08 846 2.66668e-07 2.49348e-07 3.01907e-07
322.04 3.63517e-07 1.93188e-08 1011 2.76796e-07 2.52366e-07 3.27975e-07
386.44 3.96392e-07 1.95688e-08 1082 2.89580e-07 2.56746e-07 3.64475e-07
463.73 4.18687e-07 1.90276e-08 1209 3.03419e-07 2.60898e-07 4.06672e-07
556.48 4.00385e-07 1.75326e-08 1386 3.18816e-07 2.64523e-07 4.73338e-07
667.77 4.48139e-07 1.76104e-08 1520 3.42569e-07 2.68613e-07 5.61113e-07
801.33 3.99399e-07 1.60295e-08 1631 3.68096e-07 2.71587e-07 6.82146e-07
961.59 4.01819e-07 1.54680e-08 1669 4.01197e-07 2.72556e-07 8.36105e-07
1153.91 4.29899e-07 1.59212e-08 1587 4.49968e-07 2.72166e-07 1.05412e-06
1384.70 5.62975e-07 1.96456e-08 1215 5.15007e-07 2.69784e-07 1.39171e-06
1661.63 7.08857e-07 3.33231e-08 496 5.82190e-07 2.80934e-07 1.68243e-06
