# simulations contain red noise only, the white noise is added as a constant
# white noise level: 7.5742759439e-08
# model DDM(tau = 1d) = 2.93e-12
#_tau D_DM sig(D_DM) n_pair sim sim_low sim_up
7.00 5.60734e-08 4.92933e-09 124 7.58250e-08 7.58085e-08 7.58514e-08
8.40 3.93107e-08 2.14763e-08 6 7.58431e-08 7.57938e-08 7.59128e-08
10.08 1.58016e-07 3.98461e-08 6 7.58878e-08 7.58103e-08 7.60215e-08
12.10 8.11081e-08 3.38144e-08 3 7.59230e-08 7.58051e-08 7.61780e-08
14.52 8.17936e-08 6.10125e-09 128 7.60057e-08 7.59439e-08 7.61062e-08
17.42 5.87891e-08 2.27836e-08 7 7.60646e-08 7.58911e-08 7.63909e-08
20.90 6.99027e-08 5.38939e-09 130 7.62528e-08 7.61258e-08 7.64869e-08
25.08 1.43980e-07 2.40116e-08 13 7.63829e-08 7.60880e-08 7.68985e-08
30.10 7.98178e-08 5.82066e-09 130 7.65703e-08 7.63466e-08 7.69828e-08
36.12 7.57380e-08 5.73562e-09 131 7.69227e-08 7.65917e-08 7.75680e-08
43.34 6.26229e-08 5.05523e-09 130 7.73147e-08 7.68459e-08 7.82484e-08
52.01 7.35239e-08 4.05585e-09 248 7.79707e-08 7.72520e-08 7.94422e-08
62.41 7.32408e-08 5.46535e-09 133 7.87534e-08 7.76941e-08 8.07392e-08
74.90 8.02495e-08 4.17492e-09 254 7.96105e-08 7.81927e-08 8.23914e-08
89.87 8.95553e-08 3.87695e-09 324 8.10643e-08 7.89980e-08 8.52137e-08
107.85 8.42277e-08 4.15835e-09 278 8.26887e-08 7.99054e-08 8.84625e-08
129.42 9.94098e-08 3.46828e-09 459 8.50861e-08 8.11362e-08 9.34101e-08
155.30 1.13069e-07 3.70211e-09 465 8.84103e-08 8.27696e-08 1.00721e-07
186.36 1.14406e-07 3.35101e-09 556 9.24162e-08 8.45723e-08 1.10163e-07
223.64 1.29395e-07 3.40416e-09 618 9.76001e-08 8.69496e-08 1.22037e-07
268.36 1.27283e-07 2.99576e-09 785 1.04533e-07 8.94012e-08 1.39175e-07
322.04 1.37048e-07 2.85445e-09 938 1.14040e-07 9.21451e-08 1.63117e-07
386.44 1.68195e-07 3.04231e-09 1007 1.25354e-07 9.53366e-08 1.98674e-07
463.73 2.07064e-07 3.15982e-09 1141 1.39650e-07 9.83109e-08 2.47066e-07
556.48 2.22291e-07 3.11583e-09 1311 1.56754e-07 1.00910e-07 3.17002e-07
667.77 2.07655e-07 2.86142e-09 1430 1.81484e-07 1.04049e-07 4.09680e-07
801.33 2.65604e-07 3.18424e-09 1484 2.08660e-07 1.06179e-07 5.30213e-07
961.59 2.81612e-07 3.42290e-09 1419 2.33752e-07 1.08256e-07 6.99962e-07
1153.91 3.10839e-07 3.91044e-09 1293 2.77099e-07 1.08418e-07 9.46926e-07
1384.70 2.21139e-07 4.23710e-09 897 3.45771e-07 1.08181e-07 1.24835e-06
1661.63 2.05875e-07 7.81098e-09 259 4.03953e-07 1.09630e-07 1.64763e-06
