# simulations contain red noise only, the white noise is added as a constant
# white noise level: 7.0359662789e-08
# model DDM(tau = 1d) = 1.93e-11
#_tau D_DM sig(D_DM) n_pair sim sim_low sim_up
7.00 6.74968e-08 4.65372e-09 134 7.08893e-08 7.07792e-08 7.10453e-08
8.40 7.31174e-08 1.73111e-08 8 7.10856e-08 7.07512e-08 7.16055e-08
10.08 5.15685e-08 1.88984e-08 4 7.12558e-08 7.07546e-08 7.22227e-08
12.10 5.31947e-08 2.34206e-08 6 7.16377e-08 7.09603e-08 7.27290e-08
14.52 8.50627e-08 4.99521e-09 142 7.20753e-08 7.16591e-08 7.26916e-08
17.42 8.81542e-08 1.57753e-08 12 7.26694e-08 7.16483e-08 7.45493e-08
20.90 9.58671e-08 5.43524e-09 141 7.36928e-08 7.28183e-08 7.50332e-08
25.08 9.41659e-08 1.46004e-08 16 7.46195e-08 7.28479e-08 7.75203e-08
30.10 7.85360e-08 4.55086e-09 149 7.57925e-08 7.42575e-08 7.81559e-08
36.12 1.26995e-07 5.92207e-09 145 7.80660e-08 7.58242e-08 8.17712e-08
43.34 1.01899e-07 5.19924e-09 153 8.07855e-08 7.75247e-08 8.61156e-08
52.01 1.42801e-07 4.58429e-09 283 8.51406e-08 8.02507e-08 9.32259e-08
62.41 1.41223e-07 5.92590e-09 163 9.00165e-08 8.34267e-08 1.02147e-07
74.90 1.29496e-07 4.40046e-09 294 9.58471e-08 8.66827e-08 1.12143e-07
89.87 1.66892e-07 4.26703e-09 383 1.05272e-07 9.20680e-08 1.30381e-07
107.85 1.81742e-07 4.78359e-09 332 1.16047e-07 9.80528e-08 1.51540e-07
129.42 1.97992e-07 3.91776e-09 555 1.32103e-07 1.05975e-07 1.83540e-07
155.30 2.35413e-07 4.35326e-09 556 1.53872e-07 1.16389e-07 2.30939e-07
186.36 2.71791e-07 4.28402e-09 671 1.80751e-07 1.29105e-07 2.90203e-07
223.64 2.89870e-07 4.26924e-09 728 2.14616e-07 1.41830e-07 3.72587e-07
268.36 3.04614e-07 3.88753e-09 888 2.56035e-07 1.57379e-07 4.83945e-07
322.04 2.80430e-07 3.24095e-09 1099 3.14113e-07 1.76045e-07 6.45457e-07
386.44 3.00009e-07 3.25535e-09 1198 3.86712e-07 1.96805e-07 8.72442e-07
463.73 3.03263e-07 3.17114e-09 1341 4.83781e-07 2.24116e-07 1.19343e-06
556.48 2.73523e-07 2.92589e-09 1520 6.04400e-07 2.51380e-07 1.63401e-06
667.77 2.59106e-07 2.67196e-09 1559 7.30418e-07 2.79603e-07 2.23098e-06
801.33 3.80120e-07 3.14363e-09 1652 9.43192e-07 2.99558e-07 3.06287e-06
961.59 5.30527e-07 3.74751e-09 1612 1.10702e-06 3.14738e-07 4.12829e-06
1153.91 6.46573e-07 4.53711e-09 1391 1.39188e-06 2.94304e-07 5.72346e-06
1384.70 1.14895e-06 8.32958e-09 846 1.71511e-06 2.54180e-07 7.43234e-06
