# simulations contain red noise only, the white noise is added as a constant
# white noise level: 1.2993311894e-06
# model DDM(tau = 1d) = 8.82e-11
#_tau D_DM sig(D_DM) n_pair sim sim_low sim_up
7.00 1.20917e-06 1.77205e-07 128 1.30182e-06 1.30136e-06 1.30251e-06
8.40 2.46080e-06 1.64944e-06 6 1.30237e-06 1.30088e-06 1.30449e-06
10.08 9.20763e-07 5.88161e-07 8 1.30413e-06 1.30193e-06 1.30746e-06
12.10 4.55936e-06 2.93596e-06 2 1.30407e-06 1.30059e-06 1.31181e-06
14.52 1.22173e-06 1.77816e-07 128 1.30722e-06 1.30550e-06 1.31009e-06
17.42 9.28588e-07 5.13337e-07 10 1.31015e-06 1.30509e-06 1.31835e-06
20.90 1.11150e-06 1.69077e-07 132 1.31483e-06 1.31109e-06 1.32097e-06
25.08 7.99507e-07 3.87041e-07 16 1.31874e-06 1.31057e-06 1.33309e-06
30.10 1.11444e-06 1.62912e-07 136 1.32442e-06 1.31780e-06 1.33619e-06
36.12 1.31100e-06 1.75935e-07 137 1.33539e-06 1.32521e-06 1.35262e-06
43.34 1.27306e-06 1.69909e-07 139 1.34748e-06 1.33326e-06 1.37293e-06
52.01 1.40094e-06 1.30608e-07 270 1.36737e-06 1.34528e-06 1.40538e-06
62.41 1.46893e-06 1.79777e-07 147 1.38902e-06 1.35922e-06 1.44603e-06
74.90 1.63886e-06 1.38707e-07 277 1.41439e-06 1.37421e-06 1.49206e-06
89.87 1.76377e-06 1.28615e-07 354 1.45737e-06 1.39820e-06 1.57487e-06
107.85 2.03379e-06 1.45286e-07 319 1.50670e-06 1.42428e-06 1.66521e-06
129.42 2.23133e-06 1.19588e-07 514 1.57422e-06 1.46096e-06 1.81695e-06
155.30 2.65232e-06 1.28619e-07 525 1.67260e-06 1.50990e-06 2.02403e-06
186.36 2.95401e-06 1.23616e-07 630 1.78744e-06 1.56558e-06 2.29530e-06
223.64 3.35071e-06 1.27174e-07 682 1.94085e-06 1.62733e-06 2.64446e-06
268.36 3.75886e-06 1.22420e-07 842 2.12264e-06 1.69787e-06 3.11991e-06
322.04 4.20285e-06 1.17520e-07 1058 2.37058e-06 1.80033e-06 3.85570e-06
386.44 4.28483e-06 1.13707e-07 1156 2.66632e-06 1.91431e-06 4.87257e-06
463.73 4.32729e-06 1.08438e-07 1287 3.00794e-06 2.02982e-06 6.26437e-06
556.48 3.77155e-06 9.53084e-08 1471 3.49042e-06 2.15337e-06 8.21448e-06
667.77 3.49337e-06 9.12168e-08 1523 4.11232e-06 2.26663e-06 1.08292e-05
801.33 3.08970e-06 8.57450e-08 1567 4.77290e-06 2.35659e-06 1.41022e-05
961.59 2.31760e-06 7.82559e-08 1528 5.65534e-06 2.47253e-06 1.87050e-05
1153.91 4.02456e-06 1.21961e-07 1302 6.45221e-06 2.49735e-06 2.51646e-05
1384.70 8.16722e-06 2.41412e-07 830 7.85393e-06 2.29245e-06 3.22930e-05
1661.63 1.02679e-05 5.16805e-07 262 9.76816e-06 2.12212e-06 4.28935e-05
